UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2019,999,328239523,161657324,166582199,124192315,126329875,21113340,22961746,2108806,2079286,9307605,10197257,408958,397979,4526300,4616056,128225442,130421046,23143558,25077581,3455822,3489730,10987079,11874906,809488,802936,131086287,136580999,97313073,99996749,19674412,21473076,1198371,1236537,9008809,9897070,299775,296133,3591847,3681434,100511947,103256223,21272051,23147716,2153494,2257593,10430961,11317035,613046,614551,30571037,30001200,26879242,26333126,1438928,1488670,910435,842749,298796,300187,109183,101846,934453,934622,27713495,27164823,1871507,1929865,1302328,1232137,556118,557871,196442,188385
R,7,2019,0,3783052,1935117,1847935,1393789,1328470,290934,280549,31183,29867,95541,90537,5698,5444,117972,113068,1502546,1432695,355018,342238,54572,52241,138643,131651,13954,13327,1432723,1366850,964341,917433,263960,254630,16120,15377,89989,85238,3902,3719,94411,90453,1051800,1001211,316170,304892,31401,29970,125824,119410,9974,9515,502394,481085,429448,411037,26974,25919,15063,14490,5552,5299,1796,1725,23561,22615,450746,431484,38848,37346,23171,22271,12819,12241,3980,3812
R,7,2019,1,3829599,1958585,1871014,1411377,1343309,293048,285222,31406,30173,99656,93957,5797,5559,117301,112794,1519419,1447189,356256,346548,54893,52665,142829,135072,14062,13441,1451415,1383891,977469,926953,265883,258925,16264,15503,94039,88602,3986,3807,93774,90101,1064246,1010315,317264,308777,31615,30161,129971,122792,10081,9616,507170,487123,433908,416356,27165,26297,15142,14670,5617,5355,1811,1752,23527,22693,455173,436874,38992,37771,23278,22504,12858,12280,3981,3825
R,7,2019,2,3922044,2005544,1916500,1443191,1373756,299866,292109,32077,30815,104586,98831,5947,5727,119877,115262,1553580,1479893,364394,354749,56036,53773,148804,140900,14406,13787,1485415,1416876,998029,946608,272042,265130,16582,15813,98838,93363,4099,3932,95825,92030,1086672,1031734,324466,316000,32229,30752,135670,128365,10345,9876,520129,499624,445162,427148,27824,26979,15495,15002,5748,5468,1848,1795,24052,23232,466908,448159,39928,38749,23807,23021,13134,12535,4061,3911
R,7,2019,3,3998665,2043010,1955655,1468484,1399076,305759,299070,32643,31529,108252,102839,6079,5889,121793,117252,1580587,1506997,371319,362811,56991,54925,153228,145602,14667,14103,1508541,1441491,1010568,959047,277501,271626,16736,16077,102346,97243,4184,4051,97206,93447,1100441,1045436,330695,323294,32574,31260,139780,132782,10519,10104,534469,514164,457916,440029,28258,27444,15907,15452,5906,5596,1895,1838,24587,23805,480146,461561,40624,39517,24417,23665,13448,12820,4148,3999
R,7,2019,4,4043323,2066951,1976372,1481576,1412056,309750,301851,32793,31740,113827,107024,6150,5934,122855,117767,1594632,1520445,375802,365629,57340,55230,159262,150227,14846,14150,1533143,1462127,1024603,972194,280797,273895,17085,16337,108080,101518,4290,4115,98288,94068,1115433,1059139,334385,325623,33154,31632,146069,137566,10752,10215,533808,514245,456973,439862,28953,27956,15708,15403,5747,5506,1860,1819,24567,23699,479199,461306,41417,40006,24186,23598,13193,12661,4094,3935
R,7,2019,5,4028281,2061200,1967081,1480503,1406671,309404,301370,33119,31886,110841,105022,5932,5737,121401,116395,1592228,1513788,374191,364493,57573,55237,155988,147501,14679,13979,1531799,1459335,1027356,972318,280455,273582,17433,16683,105307,99751,4168,4015,97080,92986,1117104,1058268,332972,324822,33469,31940,143020,135142,10630,10103,529401,507746,453147,434353,28949,27788,15686,15203,5534,5271,1764,1722,24321,23409,475124,455520,41219,39671,24104,23297,12968,12359,4049,3876
R,7,2019,6,4017227,2052956,1964271,1472810,1405368,308033,300045,32894,31635,113227,106763,5962,5705,120030,114755,1583141,1510794,371662,361660,57157,54938,158244,149135,14801,13967,1526821,1456869,1021285,970153,279875,272794,17619,16835,107859,101491,4228,3984,95955,91612,1109863,1054670,331397,322719,33542,32104,145504,136830,10745,10030,526135,507402,451525,435215,28158,27251,15275,14800,5368,5272,1734,1721,24075,23143,473278,456124,40265,38941,23615,22834,12740,12305,4056,3937
R,7,2019,7,4022319,2055735,1966584,1480909,1412952,308674,299701,33551,32281,108604,103147,5738,5520,118259,112983,1589585,1516777,371587,360186,57866,55507,152473,144717,14348,13739,1525367,1455456,1025362,973529,280809,272952,17624,17004,103326,98083,4005,3859,94241,90029,1112334,1056620,331622,321886,33532,32186,139939,132706,10336,9879,530368,511128,455547,439423,27865,26749,15927,15277,5278,5064,1733,1661,24018,22954,477251,460157,39965,38300,24334,23321,12534,12011,4012,3860
R,7,2019,8,4066194,2079723,1986471,1506451,1434540,310357,301405,32464,31404,106336,101027,5703,5419,118412,112676,1615341,1538074,373230,361574,57075,54976,150038,142303,14393,13604,1535406,1461860,1034591,980473,283750,275204,17917,17051,101205,96099,3982,3770,93961,89263,1121355,1062824,334407,323600,33955,32391,137498,130357,10336,9728,544317,524611,471860,454067,26607,26201,14547,14353,5131,4928,1721,1649,24451,23413,493986,475250,38823,37974,23120,22585,12540,11946,4057,3876
R,7,2019,9,4061874,2073148,1988726,1492003,1425458,310984,302328,32944,32102,111378,106865,6026,5869,119813,116104,1602333,1532146,375099,365051,57462,56127,155395,149043,14607,14098,1532072,1467085,1027929,978067,282221,274508,17300,17132,105539,101315,4091,3956,94992,92107,1115795,1063065,333828,324882,33119,32805,142048,136383,10393,9945,541076,521641,464074,447391,28763,27820,15644,14970,5839,5550,1935,1913,24821,23997,486538,469081,41271,40169,24343,23322,13347,12660,4214,4153
R,7,2019,10,4060940,2071778,1989162,1490759,1424502,313808,306160,33000,31964,110831,107165,6189,6126,117191,113245,1598313,1528600,376796,367689,56998,54726,153666,148126,14512,14191,1536867,1474098,1032822,983820,284609,277729,17386,16938,104744,101388,4161,4133,93145,90090,1118701,1067026,335515,327545,32920,31600,140363,135553,10288,10071,534911,515064,457937,440682,29199,28431,15614,15026,6087,5777,2028,1993,24046,23155,479612,461574,41281,40144,24078,23126,13303,12573,4224,4120
R,7,2019,11,4189261,2138037,2051224,1541354,1471375,323720,316014,34341,33057,114789,110802,6435,6156,117398,113820,1649024,1575754,386755,378160,58287,56289,157654,151667,15022,14145,1584945,1520958,1066212,1016549,293910,287241,18017,17573,108853,105008,4356,4094,93597,90493,1152411,1099856,345107,337614,33589,32519,144609,138995,10656,9983,553092,530266,475142,454826,29810,28773,16324,15484,5936,5794,2079,2062,23801,23327,496613,475898,41648,40546,24698,23770,13045,12672,4366,4162
R,7,2019,12,4208387,2149819,2058568,1556594,1485292,324742,314523,34912,33272,113374,108731,6380,6255,113817,110495,1661010,1586440,385601,374179,58552,56299,154945,148509,14689,14286,1596553,1527375,1080935,1028094,295280,286414,18053,17718,107334,103068,4341,4194,90610,87887,1164446,1108850,344588,334886,33450,32588,141892,136218,10464,10090,553266,531193,475659,457198,29462,28109,16859,15554,6040,5663,2039,2061,23207,22608,496564,477590,41013,39293,25102,23711,13053,12291,4225,4196
R,7,2019,13,4175221,2132987,2042234,1555151,1480320,315879,308869,34185,32837,112172,109108,6269,6055,109331,105045,1655371,1576591,373480,364763,57361,54983,152471,147383,14240,13644,1590440,1521511,1086624,1030773,287811,281571,18044,17557,106366,103740,4249,4105,87346,83765,1166980,1107834,334711,327139,33153,31933,140137,135663,10160,9671,542547,520723,468527,449547,28068,27298,16141,15280,5806,5368,2020,1950,21985,21280,488391,468757,38769,37624,24208,23050,12334,11720,4080,3973
R,7,2019,14,4164459,2125640,2038819,1555244,1481914,312277,303607,33799,32888,113334,112596,6270,6091,104716,101723,1651026,1574765,366762,357021,56646,54844,152147,149895,13890,13453,1593336,1528424,1094695,1040467,285020,277225,17986,17557,107739,107332,4291,4259,83605,81584,1171478,1115175,329299,320924,32882,31902,140330,138757,9932,9773,532304,510395,460549,441447,27257,26382,15813,15331,5595,5264,1979,1832,21111,20139,479548,459590,37463,36097,23764,22942,11817,11138,3958,3680
R,7,2019,15,4175459,2129720,2045739,1565525,1493313,309995,301975,32992,32195,114019,114017,6098,5814,101091,98425,1657985,1583301,361874,353055,55363,53967,151701,150300,13552,13043,1609597,1543507,1114196,1057624,283729,276619,17883,17278,108547,108870,4263,4045,80979,79071,1188563,1130139,326036,318453,32683,31850,140237,139416,9835,9399,520123,502232,451329,435689,26266,25356,15109,14917,5472,5147,1835,1769,20112,19354,469422,453162,35838,34602,22680,22117,11464,10884,3717,3644
R,7,2019,16,4150420,2116165,2034255,1558175,1487299,308407,300890,32746,31587,114373,114557,6074,5819,96390,94103,1646067,1573256,357661,348988,54734,53173,150058,149340,13386,12690,1604425,1539114,1113584,1056787,282580,276339,17601,16980,109036,109392,4230,4093,77394,75523,1184409,1126048,322835,315672,32255,31414,139121,138635,9699,9299,511740,495141,444591,430512,25827,24551,15145,14607,5337,5165,1844,1726,18996,18580,461658,447208,34826,33316,22479,21759,10937,10705,3687,3391
R,7,2019,17,4142425,2112553,2029872,1555156,1483571,314282,306410,32631,31348,111866,111616,5881,5675,92737,91252,1639692,1566526,361498,353490,54365,53032,145900,144560,12877,12491,1605176,1540717,1113578,1057826,288716,281825,17760,17127,106716,106708,4140,3960,74266,73271,1181510,1124726,327331,320373,32179,31687,135281,134380,9438,9114,507377,489155,441578,425745,25566,24585,14871,14221,5150,4908,1741,1715,18471,17981,458182,441800,34167,33117,22186,21345,10619,10180,3439,3377
