,external_gene_name,y1,y0,ate,ate_mean,95_C.I._min,95_C.I._max
ENSG00000087086.12,FTL,2944.7591922145853,2251.5832343398242,693.175957874761,674.3003303557927,-263.1097276156898,1745.5540468849542
ENSG00000164265.7,SCGB3A2,336.86449818932186,180.51107537734288,156.353422811979,153.35536737210188,29.5250757688547,301.8291608897823
ENSG00000165168.7,CYBB,512.5139325865954,381.5424843865912,130.9714482000042,127.01377583472858,-38.32273159188186,303.4604131256177
ENSG00000117984.11,CTSD,467.5711261358267,337.7532998937821,129.8178262420446,127.33862246514971,-20.012178371177413,294.59167491208984
ENSG00000030582.15,GRN,579.5183590129902,457.32106825628534,122.19729075670489,118.26319802292366,-72.81867858423637,335.31741335936584
ENSG00000107798.16,LIPA,358.4301152478598,238.84755570369194,119.58255954416788,116.16762996382741,-15.531639905675622,272.1381492352453
ENSG00000102575.9,ACP5,309.89235226780045,196.99896225798517,112.89339000981528,110.48253060299356,-1.4614824795798036,248.492086357599
ENSG00000038945.13,MSR1,417.0712696547197,309.33436854966294,107.73690110505675,104.52451679825037,-31.18948146263751,255.27194155028437
ENSG00000162511.7,LAPTM5,451.74965038867,362.0578308282451,89.6918195604249,86.1535388168309,-60.223368455525865,251.45604318739296
ENSG00000111144.8,LTA4H,355.773431944756,276.8602125932034,78.91321935155258,76.32327010508014,-41.07515534845913,206.7253841993759
ENSG00000198848.11,CES1,226.9830072148209,164.3046909122267,62.6783163025942,60.754282751068104,-12.8571529662865,143.75052779756308
ENSG00000018280.15,SLC11A1,213.6685822421996,152.28619897761897,61.382383264580625,59.72640615892447,-12.4191375405535,132.79156709044017
ENSG00000149925.15,ALDOA,343.25192523108666,288.28815883022816,54.9637664008585,52.596613362101735,-56.22185350390169,173.03552925363792
ENSG00000135929.7,CYP27A1,180.1563449113024,125.8764647448787,54.279880166423695,53.11041049571086,-5.451592252276801,116.92120270329318
ENSG00000165140.8,FBP1,169.41597322990947,116.66541371883682,52.75055951107265,51.45709123580016,-6.688481289449983,114.7344908768975
ENSG00000012779.9,ALOX5,199.955738499788,150.25432875090775,49.70140974888025,48.18741759417794,-19.24544990460649,122.20376349688237
ENSG00000173391.7,OLR1,186.05577818005395,137.70663294167673,48.34914523837722,47.043067431697814,-13.647024430234476,113.86989323629678
ENSG00000140678.15,ITGAX,155.14340080677349,107.43542552000002,47.70797528677346,46.634276957665556,-7.601529906302519,103.14205767043156
ENSG00000042493.14,CAPG,202.98809963277026,155.47380290680331,47.51429672596694,46.124521934653664,-19.605574227217737,118.70987459203766
ENSG00000196743.7,GM2A,189.2195690964629,143.45668045199272,45.762888644470166,44.42433209526296,-16.662675412554808,112.23912157945671
ENSG00000185215.7,TNFAIP2,200.9279734268402,155.34747468071282,45.580498746127375,44.41554340226582,-20.33114754064393,112.09276526029663
ENSG00000131981.14,LGALS3,232.0611041458288,187.0498198215548,45.011284324274015,43.50248468073501,-25.1556457608002,119.57176601194146
ENSG00000116701.13,NCF2,181.84314971583606,139.2985436766841,42.54460603915197,41.22241767189635,-17.14337376263411,107.23659754957681
ENSG00000138061.10,CYP1B1,88.74986510437824,49.37016928122956,39.37969582314869,38.67063312928447,5.729952512332157,78.09980548846603
ENSG00000163931.14,TKT,236.5491511281593,197.18581919643105,39.363331931728254,37.53498123862421,-39.121227543461394,123.93686781483379
ENSG00000142657.19,PGD,146.89663507964096,107.95228013911917,38.94435494052179,37.791774391156515,-9.896614969581954,90.43293528248948
ENSG00000110880.9,CORO1C,279.723615377072,240.82463353097566,38.89898184609635,36.57908165482053,-51.946307460992976,129.82783850951026
ENSG00000198431.14,TXNRD1,192.24455713061505,153.93947531469144,38.305081815923614,36.873842046613106,-27.789820550907223,104.87673645359683
ENSG00000049860.12,HEXB,169.14702568081572,134.32154679132256,34.825478889493155,33.523891793700045,-19.4644672835621,91.0444768003671
ENSG00000159399.8,HK2,116.46912680966832,85.60973450193733,30.859392307731,29.933686255601266,-9.124681796171563,74.95728612315077
ENSG00000060982.13,BCAT1,137.8718564982607,107.14072174773203,30.731134750528682,29.47596922078586,-16.244404625369544,75.82939024503872
ENSG00000121064.11,SCPEP1,149.33706348650233,118.86595389740567,30.471109589096656,29.283146950878102,-19.838448307620837,82.30244174540364
ENSG00000160213.5,CSTB,103.83024239107401,75.02681889229056,28.803423498783445,28.06867142096427,-5.823736469016383,64.46742444220519
ENSG00000104904.11,OAZ1,275.11179703289395,247.08086766286786,28.030929370026087,25.999376404841744,-62.08663124514215,120.83689519838742
ENSG00000163191.5,S100A11,143.75364011007247,118.95452512129198,24.799114988780488,23.712142327232787,-21.97427414005396,74.20029178351513
ENSG00000071553.15,ATP6AP1,127.56232835970062,103.23884574879347,24.32348261090715,23.294462021832786,-18.144897750314627,69.49031517319273
ENSG00000122359.16,ANXA11,259.12418980650193,234.84358952575965,24.280600280742277,22.460268774023877,-60.74469080087933,109.93124765940057
ENSG00000121316.9,PLBD1,101.40865511756697,77.52370741031443,23.884947707252536,23.018250981756733,-9.597292296418317,60.17212908266361
ENSG00000161921.13,CXCL16,105.07442251252672,81.21233144844635,23.862091064080374,23.162076522504126,-11.039014940074704,62.53951756675833
ENSG00000138413.12,IDH1,112.0361863691312,88.33991841626772,23.69626795286348,22.9185070765209,-13.155772020503814,64.93426641706928
ENSG00000130309.9,COLGALT1,129.6002779345884,106.07015803415183,23.530119900436574,22.639923605078888,-19.179590439198257,68.50985537481758
ENSG00000113648.15,MACROH2A1,173.49016428835043,150.1248361639611,23.365328124389322,21.978639375367827,-33.170415993799516,81.21955102138749
ENSG00000135926.11,TMBIM1,227.75675053121628,204.47321682585437,23.28353370536192,21.721332942408438,-51.426347502314094,100.28467628627688
ENSG00000119321.7,FKBP15,144.9827093885422,122.57544020707161,22.407269181470582,21.37006322006797,-25.468263615575726,73.74189960165076
ENSG00000000938.11,FGR,96.11474320135298,74.09663493231325,22.01810826903973,21.259846656089017,-10.33357978953983,53.94005070952174
ENSG00000144959.8,NCEH1,92.3377207044018,70.5153340463209,21.8223866580809,21.136131613300943,-8.834326718542727,52.936516284688686
ENSG00000115355.14,CCDC88A,157.7893738349412,136.2484268607574,21.540946974183782,20.43656483966172,-28.642952134814994,71.12913144167027
ENSG00000111679.15,PTPN6,109.32901479511156,88.15436220217636,21.174652592935203,20.388806006574526,-14.422622209009885,59.04001041071087
ENSG00000099331.12,MYO9B,146.98287868068275,125.81665120255434,21.166227478128405,20.208296617756545,-28.371106420574908,71.48967664421299
ENSG00000057252.11,SOAT1,129.54599011497842,108.66467766556822,20.881312449410203,19.8675450422133,-21.382891261403564,62.349925798954295
ENSG00000167468.15,GPX4,132.74512388053665,112.1920565832787,20.553067297257954,19.549431732231582,-24.39048310269794,66.48631494917066
ENSG00000032444.14,PNPLA6,115.65363961350225,95.21132966758947,20.442309945912783,19.68905764006478,-19.10012663921556,63.09705357797961
ENSG00000159842.13,ABR,146.0301939535302,125.86904865658033,20.161145296949854,19.189634618455965,-28.146604903324445,70.97688172571515
ENSG00000108602.16,ALDH3A1,27.654367615056685,7.717566233236247,19.936801381820437,19.777353453506603,5.139287788674543,37.54124880917595
ENSG00000160883.9,HK3,70.52555037495914,50.60251133098465,19.92303904397449,19.35923477427952,-5.581134347961157,48.247540995959895
ENSG00000132170.18,PPARG,83.53739646960236,63.71244069691585,19.824955772686508,19.204131057128375,-7.242750458400419,48.04818011922249
ENSG00000197471.10,SPN,93.94831389964477,74.1362974015246,19.812016498120173,19.139867843514278,-12.674783853469838,53.75166354194113
ENSG00000023191.15,RNH1,164.92463351864714,145.28936957839997,19.63526394024717,18.388394048865855,-35.513764999129975,76.18864485177396
ENSG00000163956.9,LRPAP1,142.1183861429257,122.90347366444365,19.214912478482034,18.16170527850943,-27.64326641585454,70.37179360029755
ENSG00000177156.9,TALDO1,100.4528959287513,81.26317213999691,19.189723788754392,18.348288186606247,-14.530208209870702,53.42077546010457
ENSG00000115762.15,PLEKHB2,184.15781876265234,165.14568269357554,19.012136069076803,17.594275950241443,-41.03312515629014,78.9697208227534
ENSG00000115295.18,CLIP4,124.75832996328316,105.98489761062424,18.773432352658915,17.793052060063346,-21.32360916214336,60.36527574895452
ENSG00000100300.16,TSPO,93.89301894142845,75.50755147397268,18.38546746745577,17.836639675974645,-14.669313669483316,53.188240041442455
ENSG00000167588.11,GPD1,54.18470718771146,35.82829170928314,18.356415478428318,18.00924488914843,-0.34086416859064916,39.80603721432879
ENSG00000117676.12,RPS6KA1,121.14301536110459,103.03666392875049,18.106351432354103,17.23202968678664,-23.183390341645058,60.84905468637401
ENSG00000159720.10,ATP6V0D1,119.65680001468651,101.58131497711082,18.07548503757569,17.32163336091535,-20.348711893944532,59.81806448618213
ENSG00000177885.12,GRB2,138.71342804654498,120.89686369860374,17.816564347941238,16.894645282877054,-27.650024795139316,63.74342536638326
ENSG00000131389.15,SLC6A6,130.4717426430582,112.70237655658511,17.7693660864731,16.90520115259219,-24.520298066398592,61.20231306859851
ENSG00000140465.12,CYP1A1,24.090657267246232,6.368251003330254,17.72240626391598,17.423304273006906,0.8167525830870456,38.67171784464226
ENSG00000136868.10,SLC31A1,87.39902095592879,69.96606451309712,17.432956442831667,16.886998400022406,-11.284121751453064,47.953297184889664
ENSG00000163694.13,RBM47,129.95094224571778,112.58393701501598,17.367005230701807,16.434369662225944,-24.900015491096553,60.972591712131745
ENSG00000185825.14,BCAP31,122.82010224710177,106.3682624546647,16.45183979243707,15.46263643520188,-24.269759228309596,59.029140401907696
ENSG00000140749.8,IGSF6,68.8067054559858,52.70017381462141,16.1065316413644,15.54565024114098,-7.6613825287449,40.47731259666696
ENSG00000198053.10,SIRPA,88.20260074935028,72.5462573048351,15.656343444515187,14.992902868143856,-13.317874997645225,47.09860492156853
ENSG00000127948.12,POR,117.0514223805195,101.4747132060026,15.576709174516893,14.719668988483187,-23.438044282166146,54.18889767252773
ENSG00000178719.15,GRINA,91.18939053157742,75.71104766924125,15.478342862336163,14.77375006142299,-15.03219296440209,47.26421038124453
ENSG00000122694.14,GLIPR2,89.11940472217017,73.65465915386213,15.464745568308047,14.920580403059699,-13.102273763416408,45.09486120971654
ENSG00000183696.12,UPP1,72.74092190520588,57.3143667749557,15.426555130250179,14.868391262057324,-9.669538652703835,38.878311319761835
ENSG00000008394.11,MGST1,65.98397532170485,50.74253330391372,15.24144201779113,14.735969666196914,-6.311939537913951,40.064603158269094
ENSG00000158869.9,FCER1G,79.49303603746043,64.6073806241188,14.885655413341624,14.3383276031459,-11.92921085071983,42.03092260232139
ENSG00000132205.9,EMILIN2,94.56865872062731,79.86958999247953,14.699068728147779,14.078355999669796,-16.382534759401025,45.112524923391106
ENSG00000169403.10,PTAFR,74.91186778746983,60.28314065428784,14.62872713318199,14.128175553381455,-10.123309757911652,39.96072003072429
ENSG00000149418.9,ST14,69.9180076069337,55.410420594305236,14.507587012628463,13.97399691339782,-9.436802787512274,40.94659742194891
ENSG00000187688.13,TRPV2,70.82400679925901,56.57015785424829,14.253848945010716,13.829914651236406,-8.884893346779824,37.44607523198366
ENSG00000083457.10,ITGAE,40.379072260398054,26.2486790556688,14.130393204729256,13.820272525937057,-0.4165884331890061,28.99532900730017
ENSG00000110446.8,SLC15A3,67.30203965733475,53.327656103037405,13.97438355429734,13.569841164137367,-8.232104963711752,35.93122417241443
ENSG00000100364.17,KIAA0930,75.66111518035444,61.78680250865008,13.874312671704367,13.389505482438278,-11.957442506140278,40.93168409649235
ENSG00000119408.15,NEK6,75.27863784747312,62.06562034742643,13.21301750004669,12.653855374132448,-13.14796007407658,41.039571181499724
ENSG00000095970.15,TREM2,36.07102988984713,22.976829670852315,13.094200218994818,12.823615428189587,-0.7876479410943691,29.134232365087225
ENSG00000172164.12,SNTB1,77.80022804509636,64.8725899609348,12.927638084161558,12.279404581505867,-12.827353278253579,40.69987874488682
ENSG00000104687.11,GSR,67.46185043236522,54.7944924108307,12.667358021534525,12.136414245290805,-9.661681177778938,35.98621047595494
ENSG00000117410.12,ATP6V0B,75.63397564418004,63.067030366028405,12.566945278151636,12.011623270928862,-12.92022600040438,39.52137640144618
ENSG00000149781.11,FERMT3,66.0571650475674,53.63470893513872,12.422456112428677,12.01896850468407,-9.382284887097876,35.425253207347794
ENSG00000023330.13,ALAS1,79.14568272849662,66.88257976203012,12.263102966466505,11.77428402010804,-14.86753675238369,42.0767070903622
ENSG00000135596.16,MICAL1,95.65074365106403,83.97036814423788,11.680375506826152,11.098866106665646,-19.00502943686697,42.92950214612388
ENSG00000121769.6,FABP3,27.235672239573326,15.749676821314928,11.485995418258398,11.263886064344607,1.3587719122761175,21.577325301109436
ENSG00000074964.15,ARHGEF10L,57.00728946598129,45.75196708758565,11.25532237839564,10.895800953136527,-7.948206494066854,30.971202247024152
ENSG00000148834.11,GSTO1,70.02045235583262,58.88804161386138,11.132410741971235,10.641174362680175,-11.683460148375135,34.474348611748745
ENSG00000025039.13,RRAGD,49.447288549971404,38.37561830113696,11.071670248834444,10.696506616670193,-4.443787751614884,28.37458622682319
ENSG00000153292.14,ADGRF1,27.73422762108989,16.687380408813684,11.046847212276205,10.81842889969022,0.20404369432177724,23.596132074882398
ENSG00000124198.8,ARFGEF2,165.09569193404275,154.151045809902,10.944646124140746,9.716641694946906,-44.13458373538427,68.70774857458628
ENSG00000069424.13,KCNAB2,59.38567624326912,48.58661066201787,10.799065581251249,10.430538546670858,-8.3632432632272,31.054167644021327
ENSG00000137824.14,RMDN3,68.75415138931055,57.9586619058877,10.795489483422848,10.437445816549983,-11.251290953907759,34.30948050836103
ENSG00000066336.10,SPI1,49.91846970018675,39.14963501187793,10.768834688308814,10.443096774551226,-6.10459552731638,28.119263263260308
ENSG00000136810.11,TXN,67.03772633313235,57.302612355471865,9.73511397766049,9.211065902273692,-12.935276963725613,31.140978960469454
ENSG00000087253.10,LPCAT2,46.23478039593759,36.56949227804862,9.66528811788897,9.258846604283011,-6.117347677368911,26.22893701517699
ENSG00000198951.10,NAGA,64.62281429344735,55.16568561740964,9.457128676037705,9.031759360934542,-12.13109389700817,31.34400211930451
ENSG00000115919.13,KYNU,45.7551877678897,36.56984161131185,9.18534615657785,8.920528455216866,-6.164081558253743,24.110116940892972
ENSG00000010671.14,BTK,45.96037753713939,36.91313888028901,9.047238656850375,8.729693992777333,-5.999376912757306,24.890907526640962
ENSG00000163814.6,CDCP1,44.19518161901374,35.206509592435985,8.988672026577753,8.69391654865151,-6.420733422801647,24.757001327586906
ENSG00000123095.5,BHLHE41,31.9846032357902,22.99691215646105,8.98769107932915,8.72464594718023,-1.708675605600791,20.24076664181334
ENSG00000172936.11,MYD88,55.845097460835724,46.97727159936423,8.867825861471495,8.50263240589085,-8.984134649740145,26.974442437342724
ENSG00000173221.12,GLRX,49.509634060675694,40.80475358401265,8.704880476663043,8.32445295390649,-7.641275553619008,24.910398394352896
ENSG00000111863.11,ADTRP,22.80104058810807,14.356085710971636,8.444954877136434,8.288331649614223,0.7155526170956371,16.546692260301736
ENSG00000162736.14,NCSTN,81.92715207172077,73.51797017472411,8.409181896996657,7.757112384017215,-18.80302259859532,36.40281414209293
ENSG00000158062.19,UBXN11,44.54260615525821,36.23042325552206,8.31218289973615,7.9686542744548605,-6.67545120191018,23.014059008103697
ENSG00000168961.15,LGALS9,39.125558597651704,30.839030907277845,8.286527690373859,8.054353499085469,-4.835041541166427,22.469592113410332
ENSG00000169692.11,AGPAT2,49.83042273430383,41.68610662548817,8.144316108815659,7.813803471364425,-8.015075037645524,25.69233386151357
ENSG00000186074.17,CD300LF,31.260626627995045,23.20650204755116,8.054124580443883,7.817922308460268,-2.2638925698943484,19.917832507796955
ENSG00000106789.11,CORO2A,44.40634835446823,36.37872529342366,8.027623061044565,7.739091634338671,-5.96051504825337,24.00181488053665
