,external_gene_name,count,ate,ate_mean,95_C.I._min,95_C.I._max
ENSG00000087086.12,FTL,178.0,369.84297357731555,393.8741634490502,-0.4102283251561595,833.8101707908646
ENSG00000164265.7,SCGB3A2,178.0,113.49263580084359,124.57936894459598,61.856160158833156,188.23523888676326
ENSG00000165168.7,CYBB,178.0,87.49986980273268,94.63933954317653,24.662884132767,166.4668110380837
ENSG00000038945.13,MSR1,178.0,79.14575027940337,76.45635507916019,17.418574333007015,134.10819375666904
ENSG00000107798.16,LIPA,178.0,75.94489849883465,75.92969229308267,19.158658835868827,137.65259708636182
ENSG00000117984.11,CTSD,178.0,73.31048330912601,77.62574364269035,10.777185764057194,145.79872279403668
ENSG00000102575.9,ACP5,178.0,67.15259627758336,68.49813412166858,22.42167665157183,114.40658056597545
ENSG00000030582.15,GRN,178.0,57.91064470181384,65.7031176957635,3.2719155858216573,128.8659915605359
ENSG00000111144.8,LTA4H,178.0,48.69927166313645,49.40814213809794,7.20176105363067,92.44818889812305
ENSG00000162511.7,LAPTM5,178.0,38.389182156310916,44.082023240221545,-1.5362060967791313,87.73910772763404
ENSG00000198848.11,CES1,178.0,37.233421151890205,36.42805025366915,11.169254201077775,58.87515663183333
ENSG00000018280.15,SLC11A1,178.0,35.818588718306394,38.6249902797453,10.779041356031287,64.67231428204174
ENSG00000173391.7,OLR1,178.0,34.6155287793154,35.342391103580916,6.787427799561588,62.648819762989085
ENSG00000135929.7,CYP27A1,178.0,34.37989402586815,34.41784199140359,10.667679019272915,57.14837143696938
ENSG00000131981.14,LGALS3,178.0,33.95224297203279,32.8779756717535,16.855799329709825,48.24241566851672
ENSG00000165140.8,FBP1,178.0,31.12403199707008,31.759795508681187,7.136081032010644,57.485648906410475
ENSG00000149925.15,ALDOA,178.0,30.43672405753992,31.921897250202964,9.767587888980099,53.555775898241215
ENSG00000198431.14,TXNRD1,178.0,30.15958764199841,26.660461841322824,6.845701625200574,46.832651097558674
ENSG00000042493.14,CAPG,178.0,28.610153933228002,29.06742180015269,1.3376027331857727,55.601100830238295
ENSG00000060982.13,BCAT1,178.0,27.33897431145061,26.128170012754932,9.845611230143092,41.63491254771714
ENSG00000185215.7,TNFAIP2,178.0,27.283052070166246,30.819071189343006,8.611409407433063,54.31020709402752
ENSG00000196743.7,GM2A,178.0,26.98077883583023,26.181090845728043,2.419187409460849,48.31895357364119
ENSG00000049860.12,HEXB,178.0,25.481057759187873,24.498017023450497,9.233478665985713,39.17252379201482
ENSG00000116701.13,NCF2,178.0,25.139262792272216,26.756443507690808,8.856136505459093,43.89152207601355
ENSG00000140678.15,ITGAX,178.0,24.810018623783364,25.47780662972723,-0.4673027195073883,50.189296004190666
ENSG00000163931.14,TKT,178.0,24.504331373313438,24.28531973790687,6.9360324891671,39.07826605102267
ENSG00000012779.9,ALOX5,178.0,23.845189624368764,26.279130846287373,3.431699672059068,48.03186101916979
ENSG00000138061.10,CYP1B1,178.0,23.41588863546193,24.498855570754273,10.314447863956238,41.79124762529753
ENSG00000110880.9,CORO1C,178.0,23.363671145010333,23.484277612516955,5.624516116562594,40.155926477283145
ENSG00000142657.19,PGD,178.0,22.841686088939493,23.112059913267643,6.526205277298653,38.086824494226185
ENSG00000160213.5,CSTB,178.0,19.155755987624264,18.2433603893314,4.973808330225384,29.755702182740336
ENSG00000159399.8,HK2,178.0,18.695639415736228,19.368975420197703,6.812175906881711,32.286439213803206
ENSG00000121064.11,SCPEP1,178.0,17.24454119212382,18.10183945528549,6.673544300862412,28.983111204382812
ENSG00000108602.16,ALDH3A1,178.0,15.792825821395477,14.490210289749346,2.4688799501210843,27.82496528784322
ENSG00000138413.12,IDH1,178.0,15.07792124817423,15.074264377947962,3.9383107127250883,25.760731481733824
ENSG00000163191.5,S100A11,178.0,14.292263066097624,14.078527262753063,2.4320515114338535,25.186649863311292
ENSG00000161921.13,CXCL16,178.0,14.19655339709532,14.76932736856219,5.027296170302488,24.318531921741297
