,external_gene_name,count,ate,ate_mean,95_C.I._min,95_C.I._max
ENSG00000087086.12,FTL,180.0,574.0626364102988,540.649337366785,148.4056159870166,929.8710043242571
ENSG00000164265.7,SCGB3A2,180.0,128.0979212732417,131.69020468516806,68.41204509766975,199.62056439476163
ENSG00000117984.11,CTSD,180.0,120.69607924091864,107.80343643265729,41.47518728689049,173.44940711089956
ENSG00000165168.7,CYBB,180.0,119.09872759684184,112.84280481913022,48.10409034476745,183.1829746292764
ENSG00000030582.15,GRN,180.0,106.30707363100991,90.3093638980106,28.92883343338302,148.88374156014746
ENSG00000038945.13,MSR1,180.0,94.08594474167853,85.58240467381414,38.29827423701781,133.74227838831575
ENSG00000107798.16,LIPA,180.0,91.0307491005541,92.77186654551295,22.516491325752067,165.22979926631876
ENSG00000102575.9,ACP5,180.0,88.89375801282713,85.83415468532222,41.97272714222604,138.2050123147009
ENSG00000162511.7,LAPTM5,180.0,76.74304206039065,69.71229197166838,25.372866403982144,113.12757387336198
ENSG00000018280.15,SLC11A1,180.0,68.2858301995195,58.58569265329398,30.907005959351533,85.93345489393182
ENSG00000111144.8,LTA4H,180.0,63.33236623288861,58.7117720695876,23.92328885706556,91.8267856988261
ENSG00000198848.11,CES1,180.0,55.49610314665362,47.20350649057164,23.62261752728185,68.05228653265742
ENSG00000173391.7,OLR1,180.0,49.2709535468728,45.39999464377074,20.619969998121274,70.28113371722043
ENSG00000149925.15,ALDOA,180.0,46.12684208309082,42.71965687305754,20.559312279325884,63.604041463038165
ENSG00000135929.7,CYP27A1,180.0,45.38498168549038,41.610068336433706,20.21347827154502,62.246385753893044
ENSG00000165140.8,FBP1,180.0,45.00496442122196,40.40376084205647,15.567083224732677,66.1181869952825
ENSG00000140678.15,ITGAX,180.0,44.04276966487201,35.58692642154025,10.298744410733711,61.5474033046823
ENSG00000185215.7,TNFAIP2,180.0,42.6153914132436,40.24773338545771,18.472659434861914,61.48219806026455
ENSG00000012779.9,ALOX5,180.0,41.96506951601975,38.56904440384442,16.875555612228457,58.67872852086134
ENSG00000196743.7,GM2A,180.0,41.02751668880194,35.98890433602368,11.533567173355511,59.09978673170876
ENSG00000042493.14,CAPG,180.0,40.69435286500744,36.97309390522029,11.218120958609314,62.216226425794765
ENSG00000131981.14,LGALS3,180.0,39.45576433309074,37.559109998197975,22.66322533210313,52.29845640666174
ENSG00000110880.9,CORO1C,180.0,33.273600060561954,29.490590966242422,11.41988840589454,46.81685156179374
ENSG00000116701.13,NCF2,180.0,32.388949688334726,31.774665244258934,14.926308383399311,48.99628602244164
ENSG00000142657.19,PGD,180.0,31.095241873964227,29.072840506790506,13.86268361465039,43.69679483105753
ENSG00000049860.12,HEXB,180.0,28.638644096113683,26.360308271866693,12.296638223960887,39.863515297444586
ENSG00000138061.10,CYP1B1,180.0,28.48644824002683,29.526521220754834,14.240865582031594,47.56489117255224
ENSG00000163931.14,TKT,180.0,26.42740189675067,24.80345309912214,9.144953666667032,41.110127121669365
ENSG00000198431.14,TXNRD1,180.0,25.237850026899217,23.869173939597164,5.1399247847084935,43.76432594725507
ENSG00000000938.11,FGR,180.0,23.61470497227223,19.960919037100847,8.4912705136272,32.18393424636068
ENSG00000060982.13,BCAT1,180.0,23.469329425986153,23.26029628504529,8.773696463595652,39.44426550844893
ENSG00000160213.5,CSTB,180.0,23.264049838968692,20.97071362885688,8.942230731976794,32.25009955384049
ENSG00000121064.11,SCPEP1,180.0,22.535692169890506,22.444935937155474,10.765036624843079,34.707418151008675
ENSG00000163191.5,S100A11,180.0,20.568379205988045,18.87686204671097,7.80784362566911,29.738422073249563
ENSG00000161921.13,CXCL16,180.0,20.564770029717128,18.98964828770033,8.601158638190318,28.920792229952696
ENSG00000159399.8,HK2,180.0,20.203294741922896,19.499769981491156,7.773677607391699,30.57650449210596
ENSG00000121316.9,PLBD1,180.0,19.651316214519245,19.023887130281132,8.821556088805401,29.395133527901912
ENSG00000071553.15,ATP6AP1,180.0,19.52055268167771,17.477309336716136,7.764707129453767,27.652148454536736
ENSG00000115355.14,CCDC88A,180.0,19.35139471561801,16.666340151588848,5.130753523333218,28.049808117263527
ENSG00000130309.9,COLGALT1,180.0,19.249960238665402,17.954295920253966,6.702844725112988,29.332593138319442
ENSG00000144959.8,NCEH1,180.0,18.78197509771966,17.351388032492157,7.514848808028141,25.968409249234895
ENSG00000132170.18,PPARG,180.0,17.87443952936678,16.53291665649868,7.985078616807407,24.789760124624536
ENSG00000104904.11,OAZ1,180.0,17.75257771333443,17.540279679619903,5.073553323171163,29.657494491725114
ENSG00000057252.11,SOAT1,180.0,17.739190308019236,15.899485704682675,6.43083692471612,24.319943176066133
ENSG00000113648.15,MACROH2A1,180.0,17.40022112675193,16.241765179967228,6.787989097748096,25.581706238870346
ENSG00000122359.16,ANXA11,180.0,17.24645252548266,15.649750725377016,5.343840107558833,26.161226330222632
ENSG00000099331.12,MYO9B,180.0,16.91076165538528,13.906540410920847,2.652185889287622,24.42996238408812
ENSG00000032444.14,PNPLA6,180.0,16.671130266487264,14.37297111174082,3.261571994312606,26.00766820898848
ENSG00000138413.12,IDH1,180.0,16.46635700309155,16.09777893033856,6.0145278769823864,27.163011012129424
ENSG00000159842.13,ABR,180.0,16.16894553561594,14.052295613352427,5.618251120133027,22.956824016396403
ENSG00000111679.15,PTPN6,180.0,16.135401180202038,15.430746180071935,6.040896406045895,25.289853084853803
ENSG00000135926.11,TMBIM1,180.0,15.914189533769447,15.462427799930603,4.735923317801309,25.93390441609974
ENSG00000167468.15,GPX4,180.0,15.785056979104116,14.415556377882487,4.773282536260499,22.69592699179705
