,external_gene_name,count,ate,ate_mean,95_C.I._min,95_C.I._max
ENSG00000087086.12,FTL,180.0,483.10214274612156,499.76594124903846,113.9974541817867,894.6443811983972
ENSG00000164265.7,SCGB3A2,180.0,125.95543285117711,133.47909191259788,68.77754077517467,201.72079245823934
ENSG00000117984.11,CTSD,180.0,103.48071099467133,99.55286480450663,36.81420129411418,161.64744225439148
ENSG00000165168.7,CYBB,180.0,99.95023002355313,104.38887421260421,37.6466469355707,169.70393368785787
ENSG00000030582.15,GRN,180.0,97.10229100471473,86.03633781509474,28.327511386028306,142.22264228501732
ENSG00000038945.13,MSR1,180.0,87.72247251786175,82.60388865936643,33.00265904900392,130.302950882726
ENSG00000102575.9,ACP5,180.0,80.79239196189837,82.33861029032553,37.045847148461405,134.88305318037314
ENSG00000107798.16,LIPA,180.0,80.68955156210104,87.75959883359997,23.388068558793833,161.1341225587785
ENSG00000162511.7,LAPTM5,180.0,62.671020511747734,62.73865073250699,19.728627959010964,106.83969138637667
ENSG00000018280.15,SLC11A1,180.0,59.81308430053767,54.08138754478923,28.6583071930029,79.67256641989808
ENSG00000111144.8,LTA4H,180.0,59.4939075351834,56.91054566730923,19.75704368679177,91.48281847811661
ENSG00000198848.11,CES1,180.0,53.123091347798606,44.5150201347851,20.269798030928587,64.84273439012743
ENSG00000173391.7,OLR1,180.0,45.59304325382996,43.42796545374276,17.781163040398972,68.09616960572124
ENSG00000135929.7,CYP27A1,180.0,42.22704205775126,40.1636216510571,18.84082535057152,61.358314998464586
ENSG00000165140.8,FBP1,180.0,40.87768130068119,38.78206240094116,13.482267269510888,64.58484998544257
ENSG00000149925.15,ALDOA,180.0,39.165187327128734,39.150200207548394,17.93550328395686,59.70779235299697
ENSG00000012779.9,ALOX5,180.0,38.21086113669237,36.37471098236391,15.743596557434293,57.59736008141739
ENSG00000140678.15,ITGAX,180.0,36.8626414159188,33.08209111059434,8.538012002083487,58.792696052204356
ENSG00000131981.14,LGALS3,180.0,35.83172092661629,35.49976385003695,20.551010015740296,49.53649454245376
ENSG00000185215.7,TNFAIP2,180.0,34.73685612793876,36.91630404714181,17.350997726218747,57.79131585621582
ENSG00000042493.14,CAPG,180.0,34.07978843708071,33.55185125266731,8.569697423775981,58.53034167619903
ENSG00000196743.7,GM2A,180.0,32.266291725676176,31.878407310049163,8.667165889250882,53.456978101242846
ENSG00000110880.9,CORO1C,180.0,31.53941695731555,28.47173109913202,10.056862514905578,44.89413742336173
ENSG00000116701.13,NCF2,180.0,29.943399289611595,31.017276847731402,14.906188567028654,47.61744920036121
ENSG00000142657.19,PGD,180.0,28.822841694524662,28.168251181268175,13.700650332585264,42.55563572253841
ENSG00000138061.10,CYP1B1,180.0,26.84605885246437,29.235282120681294,13.282632782450824,47.50878066729444
ENSG00000163931.14,TKT,180.0,25.596623182321856,25.010846902951332,9.041541323184262,41.006162493686226
ENSG00000198431.14,TXNRD1,180.0,24.897325684686333,24.774592968469218,5.741865568050011,43.788818421018654
ENSG00000049860.12,HEXB,180.0,24.594264847140384,24.600366068114827,10.433522911996915,37.942757542862765
ENSG00000060982.13,BCAT1,180.0,21.21202921749663,23.4740842585221,8.652259226963162,38.03322446940634
ENSG00000159399.8,HK2,180.0,20.832723962879758,20.202611169050556,7.763171459625385,31.853250506070953
ENSG00000160213.5,CSTB,180.0,20.450481205042934,19.937823061095006,8.441281188483956,31.48587280661026
ENSG00000161921.13,CXCL16,180.0,19.32525931527033,18.262779619510802,8.384234706484676,27.87930692248562
ENSG00000000938.11,FGR,180.0,19.153500416338396,17.903383470448485,6.797451242759415,30.40928708572961
ENSG00000121064.11,SCPEP1,180.0,18.88116162043346,20.817787169785042,8.9197199533732,33.60547295388682
ENSG00000144959.8,NCEH1,180.0,17.574610194651722,16.697881899955163,6.679604481500254,25.814556429243467
ENSG00000122359.16,ANXA11,180.0,17.56026488842127,15.377836468104896,5.145053599110704,26.700914543448143
ENSG00000071553.15,ATP6AP1,180.0,17.401153027557182,16.316679245706986,6.407070488888126,26.366603504775963
ENSG00000163191.5,S100A11,180.0,17.282421595629753,17.228538602454286,6.272483480678361,27.56298094813821
ENSG00000115355.14,CCDC88A,180.0,17.245408814385073,15.576829021918154,4.042472169956355,26.447253607701594
ENSG00000130309.9,COLGALT1,180.0,17.138535901740617,17.055854819701427,6.075877077302927,28.345523960083188
ENSG00000121316.9,PLBD1,180.0,17.103042022542333,17.821432885326317,7.340198770301579,28.369686777113568
ENSG00000132170.18,PPARG,180.0,16.303791008533658,15.69356735813177,7.491630787936559,24.060939940479027
ENSG00000113648.15,MACROH2A1,180.0,15.723157316524516,15.655067220509443,6.445611242330002,24.690280664755175
ENSG00000032444.14,PNPLA6,180.0,15.507207928575253,13.705304021398867,2.147579658854031,25.316408979472886
ENSG00000135926.11,TMBIM1,180.0,15.263189069078408,15.221865878170883,4.482371384603216,25.323336992140394
ENSG00000167588.11,GPD1,180.0,15.215819024116515,14.095713697954345,7.13525978086918,20.727627479507234
ENSG00000108602.16,ALDH3A1,180.0,15.15118670605426,16.417585188962626,4.426206401451494,32.347275620160936
ENSG00000115295.18,CLIP4,180.0,15.137882444197887,14.199069685713104,7.591880941546305,20.00699843015413
ENSG00000138413.12,IDH1,180.0,15.094690612994894,15.805266447132203,5.997080698055732,26.51942588376325
ENSG00000057252.11,SOAT1,180.0,14.732877692192472,14.588781797728645,5.589467664327397,22.875119131813793
ENSG00000159842.13,ABR,180.0,14.49950095156947,13.365946921801878,5.312581623194515,22.290756007567946
ENSG00000160883.9,HK3,180.0,14.25068580461472,14.28720876881009,5.438887156106791,23.822295637737298
ENSG00000119321.7,FKBP15,180.0,13.90111583589031,13.909545695136583,4.717771653452317,23.1271586619964
ENSG00000197471.10,SPN,180.0,13.895836353175822,13.691605835129394,3.0361207619560293,25.012221534371406
ENSG00000099331.12,MYO9B,180.0,13.842001139635103,12.669357589082647,1.5332080228762746,23.87560748555858
ENSG00000111679.15,PTPN6,180.0,13.734904982180478,14.219531452680751,5.387947688956844,23.426270605282994
ENSG00000104904.11,OAZ1,180.0,13.469300306738827,15.545374531884715,3.335189945544656,26.99067447374668
ENSG00000122694.14,GLIPR2,180.0,13.459156071049941,12.400749456471454,3.679801529129096,21.283611944158423
ENSG00000131389.15,SLC6A6,180.0,13.420920835254348,12.286392589956113,3.261379429573124,21.486140045998
ENSG00000167468.15,GPX4,180.0,13.391756331982553,13.174443299835914,4.1959047286514695,21.546719942036297
ENSG00000023191.15,RNH1,180.0,13.319503516672029,12.236155629962191,4.240381307048379,20.680127562290185
ENSG00000183696.12,UPP1,180.0,13.106686105876243,12.048667237387468,2.684852791315487,20.964965337199818
ENSG00000159720.10,ATP6V0D1,180.0,13.059672704489948,12.258342786189623,3.7888055278100023,20.73741222218891
ENSG00000136868.10,SLC31A1,180.0,13.04817897293239,12.522217506002878,4.474742998573303,20.55600127494637
ENSG00000115762.15,PLEKHB2,180.0,12.778810266068366,12.118937512281164,2.86762170536308,20.615658357122282
ENSG00000177156.9,TALDO1,180.0,12.763879356122283,12.370251507290794,4.536420048101097,19.88124060279352
ENSG00000127948.12,POR,180.0,12.639311396120476,11.252221663918233,4.526895905195607,18.009656670705308
ENSG00000132205.9,EMILIN2,180.0,12.570981915158928,11.841183317422656,2.7568949192857035,20.090304834187112
ENSG00000163694.13,RBM47,180.0,12.32695086560599,10.725245290203508,3.5690801467030195,17.7958248888038
ENSG00000163956.9,LRPAP1,180.0,12.131572400673566,12.602787522267416,5.183437343522044,20.679985426649363
ENSG00000100300.16,TSPO,180.0,11.9968950155811,11.971750179516901,2.8820577498035305,22.034531185369506
ENSG00000177885.12,GRB2,180.0,11.860848186605098,12.151302337835864,3.782382918596276,19.74151969358085
ENSG00000178719.15,GRINA,180.0,11.847272201745861,10.936749801426364,2.2408048074889018,19.241370690461107
ENSG00000187688.13,TRPV2,180.0,11.427851916415499,10.630619769922799,4.071331234352771,17.54463774711833
ENSG00000083457.10,ITGAE,180.0,11.369253285025795,12.295198370914234,4.9538574733593554,19.129382612005966
ENSG00000140465.12,CYP1A1,180.0,10.77491257973097,12.315661098482598,-2.930726117732817,29.28638305015848
ENSG00000169403.10,PTAFR,180.0,10.632826410631454,10.173634255609661,1.6559544655888498,18.285952920158696
ENSG00000149418.9,ST14,180.0,10.587631514331402,10.152737875870008,4.2380702060527105,15.62745295761773
ENSG00000008394.11,MGST1,180.0,10.522165044519266,10.311268247636939,5.027035270862026,15.060806001309093
ENSG00000110446.8,SLC15A3,180.0,10.476762216810071,9.828448425797575,3.3113932449070056,16.422832196091534
ENSG00000198053.10,SIRPA,180.0,10.473711824325749,10.05099757833566,2.6548637974390847,17.368677383506615
ENSG00000117676.12,RPS6KA1,180.0,10.054835547691003,9.868713595701784,1.2319719600975294,19.228884089575487
ENSG00000172164.12,SNTB1,180.0,9.961558425243041,8.70528063346263,3.5469597320375654,13.644869326884605
ENSG00000158869.9,FCER1G,180.0,9.764600275249215,9.74345071312425,1.8312274844454959,17.464800384997552
ENSG00000185825.14,BCAP31,180.0,9.651731358422872,9.67052114890092,2.334851115401796,17.443520197057357
ENSG00000137824.14,RMDN3,180.0,9.621310619959555,8.06248030816126,2.30718573236865,13.355513595102007
ENSG00000069424.13,KCNAB2,180.0,9.560380932798978,8.790746953896203,2.2107034238501706,15.598037087175241
ENSG00000140749.8,IGSF6,180.0,9.313074803464996,10.32353462523782,1.7318391389653407,18.639887379712285
ENSG00000135596.16,MICAL1,180.0,8.828166673007868,8.073522889132722,1.4436129940147386,14.490791457090074
ENSG00000121769.6,FABP3,180.0,8.646507856170892,8.035113209062585,2.6210783892948677,13.433329251706832
ENSG00000149781.11,FERMT3,180.0,8.45860199240824,8.135811675316852,1.6703556986104109,14.805790668373309
ENSG00000066336.10,SPI1,180.0,8.384238159214432,7.73410016966832,2.21078826446562,13.28227857926953
ENSG00000100364.17,KIAA0930,180.0,8.321404030415474,9.089929452305311,1.5307664937149852,17.7537429885144
ENSG00000095970.15,TREM2,180.0,8.30476499662702,8.480451220112725,1.3457826655047058,15.602819005352867
ENSG00000104687.11,GSR,180.0,8.271584869506746,7.934763235725906,3.5968224666972795,12.50894841022359
ENSG00000119408.15,NEK6,180.0,7.939997184269791,7.962801162720298,1.6137055356385985,14.5976062958967
ENSG00000025039.13,RRAGD,180.0,7.929636026995668,7.65774962501952,4.018650664129688,11.291840845180209
ENSG00000148834.11,GSTO1,180.0,7.673606018542441,7.437958117046464,2.6470204386104204,12.211289084427575
ENSG00000074964.15,ARHGEF10L,180.0,7.610581780258959,7.969545056290758,3.2361757975661485,13.12603228841336
ENSG00000117410.12,ATP6V0B,180.0,7.569549914429284,7.746919576024453,1.9734288367861,13.886969365740466
