,external_gene_name,ate,lower_bound,upper_bound
ENSG00000087086.12,FTL,249.01,-247.29,803.71
ENSG00000164265.7,SCGB3A2,94.604,25.504,176.6
ENSG00000038945.13,MSR1,78.612,1.012,155.81
ENSG00000165168.7,CYBB,73.943,-15.157,169.94
ENSG00000107798.16,LIPA,63.378,-7.2225,139.98
ENSG00000102575.9,ACP5,60.01,7.8104,119.51
ENSG00000117984.11,CTSD,58.29,-24.91,154.39
ENSG00000111144.8,LTA4H,52.303999999999995,-4.6959,107.8
ENSG00000030582.15,GRN,50.995,-41.105,150.39
ENSG00000198848.11,CES1,38.533,10.833,69.833
ENSG00000173391.7,OLR1,37.975,5.4754,70.275
ENSG00000131981.14,LGALS3,37.071,15.071,56.571000000000005
ENSG00000149925.15,ALDOA,36.041,4.4407,63.74100000000001
ENSG00000135929.7,CYP27A1,33.634,4.9338,64.434
ENSG00000162511.7,LAPTM5,33.596,-26.704,99.796
ENSG00000018280.15,SLC11A1,33.423,0.62259,69.723
ENSG00000163931.14,TKT,28.393,5.7929,49.093
ENSG00000042493.14,CAPG,27.594,-9.5057,66.494
ENSG00000165140.8,FBP1,27.303,-2.9975,61.503
ENSG00000196743.7,GM2A,27.213,-4.6868,58.813
ENSG00000060982.13,BCAT1,25.941,3.1406,49.641000000000005
ENSG00000116701.13,NCF2,25.874000000000002,0.97359,50.574
ENSG00000049860.12,HEXB,24.705,6.2051,43.905
ENSG00000012779.9,ALOX5,24.545,-7.155,55.845
ENSG00000140678.15,ITGAX,24.256999999999998,-1.9434,52.457
ENSG00000198431.14,TXNRD1,24.195,0.3946,54.295
ENSG00000142657.19,PGD,24.17,1.8704,45.67
ENSG00000110880.9,CORO1C,23.209,0.30905,45.608999999999995
ENSG00000185215.7,TNFAIP2,22.441999999999997,-2.9578,52.641999999999996
ENSG00000160213.5,CSTB,20.995,4.2947,36.895
ENSG00000138061.10,CYP1B1,18.783,1.8832,37.183
ENSG00000159399.8,HK2,18.65,-0.65015,36.05
ENSG00000121064.11,SCPEP1,17.839000000000002,0.63876,33.339
ENSG00000163191.5,S100A11,17.229,0.42867,32.229
ENSG00000135926.11,TMBIM1,16.239,0.13935999999999998,31.139
ENSG00000104904.11,OAZ1,16.132,-3.5681,34.632
ENSG00000144959.8,NCEH1,15.535,-0.36539,30.235
ENSG00000057252.11,SOAT1,14.343,1.6433,27.043000000000003
ENSG00000115295.18,CLIP4,14.285,4.5851,22.785
ENSG00000167588.11,GPD1,14.186,2.4858,25.285999999999998
ENSG00000132170.18,PPARG,13.654000000000002,0.85396,26.554000000000002
ENSG00000138413.12,IDH1,13.505999999999998,-0.39379000000000003,29.006
ENSG00000161921.13,CXCL16,13.478,-0.12174000000000001,28.278000000000002
ENSG00000167468.15,GPX4,13.287,1.0866,24.287
ENSG00000115355.14,CCDC88A,12.763,-2.7369,28.663
ENSG00000177156.9,TALDO1,12.157,2.1568,21.956999999999997
ENSG00000008394.11,MGST1,11.931,3.2309,20.131
ENSG00000140749.8,IGSF6,11.895999999999999,0.99625,22.695999999999998
ENSG00000121316.9,PLBD1,11.864,-3.7364,28.364
ENSG00000119321.7,FKBP15,11.770999999999999,-1.7286,26.070999999999998
ENSG00000130309.9,COLGALT1,11.748,-1.6518,27.948
ENSG00000111679.15,PTPN6,11.432,-1.7679,24.432
ENSG00000136868.10,SLC31A1,11.431,0.23139,21.730999999999998
ENSG00000071553.15,ATP6AP1,11.263,-0.83731,24.563000000000002
ENSG00000163694.13,RBM47,11.129000000000001,-0.070547,20.729
ENSG00000000938.11,FGR,10.98,-3.1201,24.98
ENSG00000023191.15,RNH1,10.974,-1.0257,22.674
ENSG00000113648.15,MACROH2A1,10.796,-3.6044,26.396
ENSG00000131389.15,SLC6A6,10.625,-3.8751,23.225
ENSG00000122694.14,GLIPR2,10.392999999999999,-1.9072,22.693
ENSG00000158869.9,FCER1G,10.38,-2.22,22.88
ENSG00000100300.16,TSPO,10.297,-4.8028,25.397
ENSG00000118785.12,SPP1,10.077,2.3773,17.177
ENSG00000172164.12,SNTB1,10.001,2.3012,17.301
ENSG00000197471.10,SPN,9.5917,-5.6083,24.791999999999998
ENSG00000160883.9,HK3,9.2271,-3.2729,21.927
ENSG00000159720.10,ATP6V0D1,9.0986,-3.4014,22.099
ENSG00000032444.14,PNPLA6,9.0715,-9.1285,26.971
ENSG00000122359.16,ANXA11,8.952,-7.247999999999999,24.552
ENSG00000163956.9,LRPAP1,8.923,-1.777,19.423
ENSG00000121769.6,FABP3,8.8358,2.0358,15.835999999999999
ENSG00000149418.9,ST14,8.7943,0.59433,15.694
ENSG00000083457.10,ITGAE,8.5617,0.66167,16.962
ENSG00000159842.13,ABR,8.5102,-2.1898,19.51
ENSG00000198053.10,SIRPA,8.5071,-1.4929,18.707
ENSG00000115762.15,PLEKHB2,8.4703,-5.4297,21.47
ENSG00000183696.12,UPP1,8.1362,-4.5638,19.436
ENSG00000104687.11,GSR,8.1257,1.5257,14.425999999999998
ENSG00000127948.12,POR,8.0558,-2.7442,19.156
ENSG00000177885.12,GRB2,7.8216,-4.3784,21.221999999999998
ENSG00000187688.13,TRPV2,7.8212,-1.0788,17.221
ENSG00000169403.10,PTAFR,7.7649,-4.3351,20.465
ENSG00000153292.14,ADGRF1,7.725,1.325,14.325
ENSG00000148834.11,GSTO1,7.7129,0.11291,14.913
ENSG00000185825.14,BCAP31,7.5952,-1.8048,17.195
ENSG00000110446.8,SLC15A3,7.5507,-1.9493,17.451
ENSG00000178719.15,GRINA,7.5234,-3.8766,19.723
ENSG00000025039.13,RRAGD,7.4761,1.6761,12.876
ENSG00000023330.13,ALAS1,7.4493,-2.0507,15.849
ENSG00000117410.12,ATP6V0B,7.303999999999999,-0.8959600000000001,15.404000000000002
ENSG00000095970.15,TREM2,7.2691,-1.1309,15.769
ENSG00000117676.12,RPS6KA1,7.2596,-5.6404,20.16
ENSG00000074964.15,ARHGEF10L,7.034,0.33397,13.534
ENSG00000123095.5,BHLHE41,7.0331,1.8331,11.732999999999999
ENSG00000132205.9,EMILIN2,6.9906,-4.8094,19.491
ENSG00000137824.14,RMDN3,6.9516,-0.6484,14.452
ENSG00000099331.12,MYO9B,6.683,-9.717,22.083000000000002
ENSG00000136810.11,TXN,6.1996,-1.1004,13.6
ENSG00000119408.15,NEK6,6.19,-1.21,14.09
ENSG00000111863.11,ADTRP,6.0939,2.0939,9.8939
ENSG00000149781.11,FERMT3,6.0424,-3.5576,15.342
ENSG00000198951.10,NAGA,5.9784,-0.32155,11.978
ENSG00000124198.8,ARFGEF2,5.6463,0.14627,11.245999999999999
ENSG00000106789.11,CORO2A,5.6432,-0.35677,11.043
ENSG00000169692.11,AGPAT2,5.6051,0.30511,10.605
ENSG00000172936.11,MYD88,5.3716,-1.2284,12.672
ENSG00000115919.13,KYNU,5.337000000000001,-1.963,12.837
ENSG00000122378.12,PRXL2A,5.2542,1.1542,9.2542
ENSG00000066336.10,SPI1,5.2025,-1.8975,12.802
ENSG00000163814.6,CDCP1,5.1439,-1.4561,12.044
ENSG00000173221.12,GLRX,5.0506,0.15056,10.350999999999999
ENSG00000140379.7,BCL2A1,5.0157,-0.28434,9.5157
ENSG00000186074.17,CD300LF,5.0149,0.21486999999999998,9.7149
ENSG00000087253.10,LPCAT2,4.8247,0.52467,9.2247
ENSG00000224397.4,PELATON,4.7606,0.46063000000000004,9.1606
ENSG00000010671.14,BTK,4.7423,-0.5577,10.242
ENSG00000100364.17,KIAA0930,4.625,-4.675,15.025
ENSG00000108602.16,ALDH3A1,4.5146,-0.085426,18.315
ENSG00000168961.15,LGALS9,4.4998,-1.3002,11.6
ENSG00000158062.19,UBXN11,4.255,-0.7449600000000001,9.155
ENSG00000090487.9,SPG21,4.1789,-0.22111999999999998,8.2789
ENSG00000164687.9,FABP5,4.175,0.075005,8.275
ENSG00000103855.16,CD276,4.1272,-1.3728,9.4272
ENSG00000100284.19,TOM1,4.1126,-1.1874,9.1126
ENSG00000162736.14,NCSTN,4.0156,-0.8844200000000001,9.0156
ENSG00000125912.9,NCLN,3.9043,-0.49568999999999996,8.3043
ENSG00000171812.9,COL8A2,3.7426,0.04258,7.8426
ENSG00000139629.14,GALNT6,3.6519999999999997,0.45202,6.952000000000001
ENSG00000141664.8,ZCCHC2,3.6205,-0.6794899999999999,8.3205
ENSG00000111424.9,VDR,3.6004,-0.39959,7.6004
ENSG00000130559.17,CAMSAP1,3.5497,-1.4503,8.5497
ENSG00000106683.13,LIMK1,3.5326,-1.3674,8.6326
ENSG00000135596.16,MICAL1,3.4918,-5.6082,12.192
ENSG00000182117.5,NOP10,3.4845,-0.61549,7.6845
ENSG00000063438.15,AHRR,3.4291,1.8291,5.1291
ENSG00000128604.17,IRF5,3.4168,-0.2832,7.7168
ENSG00000130204.11,TOMM40,3.3604,0.36035,6.5604
ENSG00000156711.15,MAPK13,3.2247,-3.1753,8.7247
ENSG00000119514.6,GALNT12,3.2234,0.023393999999999998,6.3234
ENSG00000188089.12,PLA2G4E,3.1794,0.17943,6.2794
ENSG00000164935.5,DCSTAMP,3.1377,0.33773000000000003,6.2377
ENSG00000134668.11,SPOCD1,2.8683,-0.43173999999999996,6.0683
ENSG00000128524.4,ATP6V1F,2.7945,-0.30554000000000003,5.7945
ENSG00000258227.5,CLEC5A,2.7938,0.093822,5.3938
ENSG00000147614.3,ATP6V0D2,2.7442,0.14419,5.2442
ENSG00000100997.17,ABHD12,2.7352,-1.6648,7.7352
ENSG00000160211.14,G6PD,2.6951,-0.90494,6.5951
ENSG00000181045.13,SLC26A11,2.687,-0.012990999999999999,5.587000000000001
ENSG00000196072.10,BLOC1S2,2.6034,0.2034,5.0034
ENSG00000108932.10,SLC16A6,2.4668,-0.63315,5.6668
ENSG00000090674.14,MCOLN1,2.4163,-0.88369,5.8163
ENSG00000103066.11,PLA2G15,2.4116,-1.4884,6.7116
ENSG00000170909.12,OSCAR,2.3972,-2.1028,6.7972
ENSG00000232973.10,CYP1B1-AS1,2.3632,0.56323,4.4632
ENSG00000143355.14,LHX9,2.3061,0.60607,4.1061
ENSG00000184730.9,APOBR,2.2219,-0.97806,5.6219
ENSG00000069424.13,KCNAB2,2.157,-5.843,11.557
ENSG00000116675.14,DNAJC6,2.1143,0.8142699999999999,3.4143
ENSG00000115008.5,IL1A,2.0848,0.084759,4.2848
ENSG00000169026.11,SLC49A3,2.0742,-0.22575,4.5742
ENSG00000226673.1,LINC01108,1.9543,0.65427,3.7543
ENSG00000102393.8,GLA,1.9302,-1.9698,5.7302
ENSG00000137976.7,DNASE2B,1.8497,0.049707,4.0497
ENSG00000129824.14,RPS4Y1,1.8266,-3.3734,9.0266
ENSG00000076944.13,STXBP2,1.8044,-1.3956,4.9044
ENSG00000095209.10,TMEM38B,1.6907,0.59072,2.7907
ENSG00000154165.4,GPR15,1.6776,0.47758999999999996,2.6776
ENSG00000167977.7,KCTD5,1.6704,-0.42958,3.9704
ENSG00000088538.12,DOCK3,1.5808,0.18081,2.8808
ENSG00000128973.10,CLN6,1.5585,-0.64154,4.1585
ENSG00000248318.1,AC104958.1,1.5539,-0.046058999999999996,3.1539
ENSG00000173599.12,PC,1.4982,-0.30182,3.3982
ENSG00000069812.10,HES2,1.4880000000000002,0.58796,2.488
ENSG00000006016.9,CRLF1,1.4211,0.021122,3.0211
ENSG00000167850.3,CD300C,1.3427,-0.5572600000000001,3.4427
ENSG00000101194.16,SLC17A9,1.3012,-0.5987600000000001,3.3012
ENSG00000141497.12,ZMYND15,1.2949,-0.50507,3.1949
ENSG00000187840.4,EIF4EBP1,1.2714,-0.028622,2.5714
ENSG00000183044.10,ABAT,1.2109999999999999,-1.489,4.011
ENSG00000111181.11,SLC6A12,1.2025,-0.19751,2.5025
ENSG00000142655.11,PEX14,1.1986,-0.60141,2.8986
ENSG00000109066.12,TMEM104,1.1663,-1.0337,3.4663
ENSG00000177301.12,KCNA2,1.1616,-0.038357,2.4616
ENSG00000133246.10,PRAM1,1.1511,-0.54889,2.7511
ENSG00000163719.17,MTMR14,1.1363,-2.9637,5.3363
ENSG00000185436.10,IFNLR1,1.1292,-1.3708,4.0292
ENSG00000126106.12,TMEM53,1.1048,0.0048193,2.2048
ENSG00000104205.11,SGK3,1.1003,-0.09967100000000001,2.3003
ENSG00000100344.9,PNPLA3,1.0843,-0.015653999999999998,2.1843
ENSG00000148803.10,FUOM,1.0375,-0.16254000000000002,2.1375
ENSG00000236700.4,LINC01010,0.9820200000000001,-0.11798,2.182
ENSG00000158477.6,CD1A,0.91195,0.011951,1.8119999999999998
ENSG00000225026.1,AC091492.1,0.9056799999999999,0.10568,1.7057
ENSG00000227036.5,LINC00511,0.868,-0.132,1.9680000000000002
ENSG00000141505.10,ASGR1,0.76637,-0.13363,1.6664
ENSG00000171658.7,NMRAL2P,0.7381300000000001,0.13813,1.3381
ENSG00000244482.8,LILRA6,0.73674,-0.36325999999999997,2.1367
ENSG00000262406.2,MMP12,0.66661,-0.13339,1.4666
ENSG00000140465.12,CYP1A1,0.6552399999999999,-0.044761,13.255
ENSG00000129450.7,SIGLEC9,0.62549,-1.3745,2.9255
ENSG00000167105.6,TMEM92,0.61434,-0.085661,1.3143
ENSG00000184408.8,KCND2,0.60256,0.002561,1.3026
ENSG00000177465.4,ACOT4,0.5976899999999999,-0.30230999999999997,1.3977
ENSG00000196611.4,MMP1,0.594,-0.406,1.294
ENSG00000259668.4,AC066613.1,0.5839,-0.016097999999999998,1.1839
ENSG00000143105.6,KCNA10,0.5777800000000001,-0.022221,1.2778
ENSG00000140505.6,CYP1A2,0.5705,-0.029498000000000003,1.6705
ENSG00000177602.5,HASPIN,0.5674399999999999,-0.032565,1.2674
ENSG00000161642.16,ZNF385A,0.55701,-1.2429999999999999,2.057
ENSG00000172156.3,CCL11,0.5553600000000001,-0.044639,1.0554
ENSG00000203446.2,SUGCT-AS1,0.53583,0.03583,0.9358299999999999
ENSG00000167083.5,GNGT2,0.50345,0.0034543,1.0035
ENSG00000248360.6,LINC00504,0.49906999999999996,0.099074,0.89907
ENSG00000237346.1,AL080313.2,0.46399999999999997,0.16399999999999998,0.8640000000000001
ENSG00000166866.11,MYO1A,0.44971000000000005,0.049707999999999995,0.94971
ENSG00000250290.1,NCAPGP1,0.42549,-0.074513,0.9254899999999999
ENSG00000183773.14,AIFM3,0.3822,-0.017797,0.7822
ENSG00000185640.5,KRT79,0.34569,-0.054308,0.64569
ENSG00000248803.1,AC092349.1,0.33703,-0.062973,0.73703
ENSG00000197403.3,OR6N1,0.30472,0.0047173,0.60472
ENSG00000234540.1,AL080313.1,0.29295,0.092953,0.49295
ENSG00000229160.1,AC009229.2,0.29154,-0.0084581,0.59154
ENSG00000226608.3,FTLP3,0.28989000000000004,-0.5101100000000001,1.0899
ENSG00000246740.2,PLA2G4E-AS1,0.28565,-0.014344999999999998,0.78565
ENSG00000180433.4,OR6K6,0.26127,-0.038734,0.5612699999999999
ENSG00000111344.10,RASAL1,0.24059,-0.059405999999999994,0.54059
ENSG00000224034.1,LINC02561,0.20876,0.0087584,0.40876
ENSG00000203757.1,OR6K3,0.19399999999999998,-0.0059999,0.494
ENSG00000203724.9,C1orf53,0.19347,-0.006529300000000001,0.39347
ENSG00000268849.4,SIGLEC22P,0.17945999999999998,-0.12054000000000001,0.47946000000000005
ENSG00000263718.2,SEPTIN9-DT,0.17527,-0.12473,0.47526999999999997
ENSG00000186451.1,SPATA12,0.17325,-0.12675,0.37325
ENSG00000279141.2,LINC01451,0.16869,-0.031309,0.36869
ENSG00000180437.5,OR6K4P,0.16677999999999998,-0.033218,0.36678
ENSG00000226949.1,OR6K5P,0.16383,-0.036166000000000004,0.36383000000000004
ENSG00000232368.1,FTLP2,0.15450999999999998,-0.045486,0.35451
ENSG00000272555.1,AC009974.1,0.14162,-0.058376,0.34162
ENSG00000180409.3,OR10AA1P,0.1403,-0.0597,0.3403
ENSG00000230479.1,AP000695.1,0.13674,-0.06326,0.33674
ENSG00000219986.2,BTF3P7,0.12836,-0.071643,0.32836
ENSG00000233818.1,AP000695.2,0.11934000000000002,0.019341999999999998,0.31934
ENSG00000229162.1,RUNX3-AS1,0.090562,-0.10944000000000001,0.29056
ENSG00000154975.12,CA10,0.081669,-0.018331,0.18167
ENSG00000225315.2,AL591178.1,0.076751,-0.023249000000000002,0.17675
ENSG00000188340.1,OR6N2,0.074019,-0.025981,0.17402
ENSG00000253230.5,MIR124-1HG,0.069286,-0.030713999999999998,0.16929
ENSG00000262358.1,AC116914.1,0.066838,-0.033162,0.16684000000000002
ENSG00000270980.1,AC060764.1,0.062615,-0.037385,0.16262000000000001
ENSG00000233041.7,PHGR1,0.062310000000000004,-0.037689999999999994,0.16230999999999998
ENSG00000259760.1,AC015660.2,0.061114999999999996,-0.13888,0.26111999999999996
ENSG00000243040.5,RBMY2FP,0.060587,-0.039413,0.16059
ENSG00000273789.1,,0.058912,-0.041088,0.15891
ENSG00000224995.1,LINC01526,0.05753200000000001,-0.042468,0.15753
ENSG00000281882.1,,0.057234,-0.042766000000000005,0.15723
ENSG00000229724.1,OR2AQ1P,0.051508000000000005,-0.048492,0.15150999999999998
ENSG00000257797.1,AC039056.1,0.049054,-0.050946,0.14905
ENSG00000250645.1,AC010442.2,0.040048,-0.059952,0.14005
ENSG00000237691.1,IFNWP2,0.034679,-0.065321,0.13468
ENSG00000214278.4,AC010442.1,0.025738999999999998,-0.07426100000000001,0.12574000000000002
ENSG00000237941.2,KCNQ1DN,-0.030594999999999997,-0.1306,0.069405
ENSG00000151834.14,GABRA2,-0.043696,-0.1437,0.05630399999999999
ENSG00000271484.1,ABI1P1,-0.046352,-0.14635,0.053648
ENSG00000126733.19,DACH2,-0.057391,-0.25739,0.042608999999999994
ENSG00000239570.1,SETP11,-0.061228,-0.16122999999999998,0.038772
ENSG00000254089.1,AC016885.2,-0.062832,-0.16283,0.037168
ENSG00000221870.2,,-0.064515,-0.16452,0.035485
ENSG00000261706.1,LINC00165,-0.066013,-0.16601,0.033987
ENSG00000260364.1,AC009055.1,-0.06743099999999999,-0.16743,0.13257
ENSG00000273762.1,VN1R76P,-0.06862,-0.16862,0.03138
ENSG00000172399.5,MYOZ2,-0.09492,-0.29491999999999996,0.10507999999999999
ENSG00000249806.1,AC139720.1,-0.095184,-0.29518,0.10482000000000001
ENSG00000260331.1,AC079148.1,-0.09703200000000001,-0.29703,0.10297
ENSG00000227082.1,LINC02798,-0.10244,-0.20244,-0.0024429
ENSG00000271474.1,AC106881.1,-0.10529000000000001,-0.40529,0.19471
ENSG00000187398.10,LUZP2,-0.11306,-0.61306,0.28694000000000003
ENSG00000183691.4,NOG,-0.11467000000000001,-0.31467,0.085328
ENSG00000279039.1,AC011447.6,-0.13931,-0.33931,0.06069
ENSG00000280639.1,LINC02204,-0.14194,-0.34194,0.058058000000000005
ENSG00000189398.5,OR7E12P,-0.146,-0.446,0.154
ENSG00000196368.4,NUDT11,-0.14774,-0.34774,0.052254999999999996
ENSG00000189423.10,USP32P3,-0.15394000000000002,-0.35394000000000003,0.046063
ENSG00000267097.1,SLC14A2-AS1,-0.15744,-0.35744000000000004,0.042556000000000004
ENSG00000260947.1,AL356489.2,-0.16981,-0.46981000000000006,0.13019
ENSG00000253407.1,AC087341.1,-0.18288,-0.38288,0.017119
ENSG00000164037.15,SLC9B1,-0.19072999999999998,-0.49073,0.10927
ENSG00000220563.1,PKMP3,-0.19357,-0.49357,0.10643
ENSG00000280515.1,SALRNA2,-0.2024,-0.5024,0.097604
ENSG00000274588.1,DGKK,-0.2304,-0.5304,-0.030399000000000002
ENSG00000102243.11,VGLL1,-0.25664000000000003,-0.5566399999999999,0.043361000000000004
ENSG00000227110.5,LMCD1-AS1,-0.26014,-0.56014,0.039859
ENSG00000146858.7,ZC3HAV1L,-0.27804,-1.078,0.5219600000000001
ENSG00000207770.1,,-0.29504,-0.59504,0.0049555
ENSG00000229481.2,,-0.29505,-0.69505,0.10495
ENSG00000232480.1,TGFB2-AS1,-0.31683,-0.71683,0.083172
ENSG00000117154.10,IGSF21,-0.32054,-0.72054,0.079456
ENSG00000113205.4,PCDHB3,-0.34496,-0.84496,0.055036
ENSG00000237036.4,ZEB1-AS1,-0.34706,-0.94706,0.25294
ENSG00000270223.1,,-0.35972,-0.95972,0.14028
ENSG00000196109.6,ZNF676,-0.36365,-1.0637,0.33635
ENSG00000237248.4,LINC00987,-0.40492,-0.9049200000000001,0.09508
ENSG00000233098.7,CCDC144NL-AS1,-0.41252,-1.2125,0.38748
ENSG00000272674.3,PCDHB16,-0.42533000000000004,-1.0253,0.17467
ENSG00000120324.6,PCDHB10,-0.43373999999999996,-0.8337399999999999,0.066263
ENSG00000186310.9,NAP1L3,-0.43483999999999995,-1.0348,0.26516
ENSG00000187151.6,ANGPTL5,-0.44167,-0.9416700000000001,-0.041673
ENSG00000081818.3,PCDHB4,-0.44911,-0.94911,0.050893
ENSG00000189430.11,NCR1,-0.45211999999999997,-0.9521200000000001,-0.052121
ENSG00000147485.11,PXDNL,-0.45498,-0.85498,-0.054977
ENSG00000164591.12,MYOZ3,-0.46055,-0.96055,0.039449
ENSG00000158164.6,TMSB15A,-0.46148,-0.8614799999999999,-0.061475999999999996
ENSG00000166770.9,ZNF667-AS1,-0.46168000000000003,-1.1617,0.33831999999999995
ENSG00000147606.7,SLC26A7,-0.47376999999999997,-0.97377,-0.07377
ENSG00000179256.2,SMCO3,-0.55082,-1.2508,0.14918
ENSG00000198046.10,ZNF667,-0.56897,-1.369,0.23103
ENSG00000261208.1,AL365475.1,-0.58215,-1.2822,0.11785
ENSG00000118276.10,B4GALT6,-0.58599,-1.186,0.014013
ENSG00000223756.5,TSSC2,-0.61665,-1.3167,0.083348
ENSG00000007171.15,NOS2,-0.6594,-1.4594,0.040604
ENSG00000152154.9,TMEM178A,-0.67477,-1.4748,0.12523
ENSG00000185985.8,SLITRK2,-0.70121,-1.4012,-0.10121000000000001
ENSG00000150076.21,,-0.71429,-1.4143,-0.014294
ENSG00000184515.9,BEX5,-0.72059,-1.4206,-0.020585
ENSG00000137338.5,PGBD1,-0.73036,-1.5304,0.16964
ENSG00000198155.5,ZNF876P,-0.74056,-1.3406,-0.14056
ENSG00000134627.10,PIWIL4,-0.76928,-1.3693,-0.06927799999999999
ENSG00000264705.1,AC090337.1,-0.80371,-1.6037,-0.0037066000000000004
ENSG00000176293.18,ZNF135,-0.80758,-2.4076,0.69242
ENSG00000173698.16,ADGRG2,-0.81793,-2.0179,0.38206999999999997
ENSG00000102245.6,CD40LG,-0.85136,-1.8514,-0.05135700000000001
ENSG00000198205.6,ZXDA,-0.85654,-1.7565,0.043460000000000006
ENSG00000102383.12,ZDHHC15,-0.8662,-1.9662,0.2338
ENSG00000279207.1,AC015813.6,-0.88154,-1.7815,0.018463999999999998
ENSG00000113248.5,PCDHB15,-0.89415,-1.7941,0.20585
ENSG00000171649.10,ZIK1,-0.90417,-2.0042,0.19583
ENSG00000185737.11,NRG3,-0.9535299999999999,-1.8535,-0.05352899999999999
ENSG00000144792.8,ZNF660,-0.97424,-2.1742,0.32576
ENSG00000171827.9,ZNF570,-0.9863299999999999,-2.3863,0.51367
ENSG00000112186.10,CAP2,-1.0236,-2.4236,0.37638
ENSG00000186479.4,RGS7BP,-1.0518,-2.2518,0.14817
ENSG00000240809.1,CAP1P1,-1.0736,-1.8736,-0.27357
ENSG00000178343.4,SHISA3,-1.087,-1.9869999999999999,-0.18700999999999998
ENSG00000130224.13,LRCH2,-1.0951,-3.2951,1.1049
ENSG00000198453.11,ZNF568,-1.1175,-2.8175,0.5825199999999999
ENSG00000196459.12,TRAPPC2,-1.1811,-2.8811,0.41886999999999996
ENSG00000279453.1,Z99129.4,-1.2874,-2.9874,0.41256000000000004
ENSG00000188227.11,ZNF793,-1.3404,-2.8404,0.059553999999999996
ENSG00000140470.12,ADAMTS17,-1.3555,-2.7555,0.044522000000000006
ENSG00000213988.8,ZNF90,-1.3643,-3.2643,0.53567
ENSG00000169239.11,CA5B,-1.3723,-4.0723,1.0277
ENSG00000144935.13,TRPC1,-1.4480000000000002,-3.948,1.1520000000000001
ENSG00000155016.16,CYP2U1,-1.4504,-3.5504,0.64962
ENSG00000186854.9,TRABD2A,-1.4702,-2.6702,-0.2702
ENSG00000235505.6,CASP4LP,-1.4721,-3.6721,0.52792
ENSG00000119865.7,CNRIP1,-1.4852,-3.6852,0.7148100000000001
ENSG00000129680.14,MAP7D3,-1.6628,-3.9628,0.8372200000000001
ENSG00000130226.15,DPP6,-1.6847,-2.9847,-0.38471
ENSG00000171451.13,DSEL,-1.8049,-4.5049,0.79515
ENSG00000138780.13,GSTCD,-1.8321,-3.1321,-0.5320600000000001
ENSG00000185052.10,SLC24A3,-1.9586,-3.7586,-0.15863
ENSG00000137960.5,GIPC2,-2.0205,-3.7205,-0.22050999999999998
ENSG00000256229.6,ZNF486,-2.0881,-4.7881,0.71195
ENSG00000136895.17,GARNL3,-2.1761,-4.7761,0.4239
ENSG00000111796.3,KLRB1,-2.2471,-4.2471,-0.24706
ENSG00000081665.12,ZNF506,-2.539,-5.539,0.66101
ENSG00000259976.1,AC093010.2,-2.6052,-4.7052,-0.10519
ENSG00000206052.9,DOK6,-2.6401,-5.2401,0.059908
ENSG00000168077.12,SCARA3,-2.642,-6.942,1.4580000000000002
ENSG00000148468.15,FAM171A1,-2.7276,-5.3276,-0.027607999999999997
ENSG00000104723.19,TUSC3,-2.827,-7.227,1.473
ENSG00000008277.13,ADAM22,-2.9476,-5.1476,-0.74762
ENSG00000182836.8,PLCXD3,-3.1227,-6.1227,-0.22269
ENSG00000152779.13,SLC16A12,-3.1446,-5.9446,-0.44464
ENSG00000151693.8,ASAP2,-3.1955,-7.0955,0.80447
ENSG00000162614.17,NEXN,-3.2676,-7.7676,1.0324
ENSG00000197124.10,ZNF682,-3.4106,-5.8106,-1.1106
ENSG00000158555.13,GDPD5,-3.4165,-6.1165,-0.71648
ENSG00000005889.14,ZFX,-3.6867,-8.2867,1.0133
ENSG00000092969.10,TGFB2,-3.7726,-7.8726,0.32737
ENSG00000186469.7,GNG2,-4.3034,-8.7034,0.39664
ENSG00000150275.16,PCDH15,-4.3096,-9.1096,0.19036
