,external_gene_name,ate,lower_bound,upper_bound
ENSG00000087086.12,FTL,579.33,82.133,1075.5
ENSG00000117984.11,CTSD,114.84,36.536,199.94
ENSG00000165168.7,CYBB,111.73,21.033,207.93
ENSG00000030582.15,GRN,108.06,20.456,193.66
ENSG00000164265.7,SCGB3A2,96.775,37.175,183.08
ENSG00000038945.13,MSR1,94.682,26.182,163.18
ENSG00000102575.9,ACP5,85.05,30.45,138.75
ENSG00000107798.16,LIPA,77.89399999999999,8.8935,156.69
ENSG00000162511.7,LAPTM5,73.601,18.801,132.0
ENSG00000111144.8,LTA4H,67.835,16.735,116.24
ENSG00000018280.15,SLC11A1,62.506,26.206,106.31
ENSG00000198848.11,CES1,58.736999999999995,23.237,90.43700000000001
ENSG00000149925.15,ALDOA,48.492,18.692,76.592
ENSG00000135929.7,CYP27A1,46.593999999999994,18.794,74.794
ENSG00000173391.7,OLR1,46.012,12.712,83.912
ENSG00000131981.14,LGALS3,41.077,19.277,61.977
ENSG00000012779.9,ALOX5,41.023,13.023,69.82300000000001
ENSG00000196743.7,GM2A,40.96,7.7597,75.66
ENSG00000165140.8,FBP1,39.896,10.196,74.896
ENSG00000042493.14,CAPG,39.297,5.4966,74.997
ENSG00000110880.9,CORO1C,35.285,12.485,56.985
ENSG00000185215.7,TNFAIP2,34.635999999999996,11.936,64.036
ENSG00000140678.15,ITGAX,34.48,9.4798,64.68
ENSG00000142657.19,PGD,31.65,13.25,49.85
ENSG00000116701.13,NCF2,31.485,7.9846,56.085
ENSG00000049860.12,HEXB,29.739,10.139,48.93899999999999
ENSG00000163931.14,TKT,28.519000000000002,5.2188,51.019
ENSG00000160213.5,CSTB,25.454,9.4539,39.554
ENSG00000198431.14,TXNRD1,23.664,2.964,44.763999999999996
ENSG00000138061.10,CYP1B1,23.491,9.2908,39.991
ENSG00000060982.13,BCAT1,23.353,1.5531,43.753
ENSG00000163191.5,S100A11,23.226,8.1259,37.126
ENSG00000121064.11,SCPEP1,22.076999999999998,8.2769,36.477
ENSG00000000938.11,FGR,20.614,6.8139,37.014
ENSG00000115355.14,CCDC88A,20.012,2.5118,37.412
ENSG00000144959.8,NCEH1,19.797,7.5975,31.997
ENSG00000161921.13,CXCL16,19.753,6.2531,33.553000000000004
ENSG00000121316.9,PLBD1,19.37,4.6696,34.07
ENSG00000071553.15,ATP6AP1,18.618,6.3179,31.518
ENSG00000130309.9,COLGALT1,18.56,4.6599,31.96
ENSG00000057252.11,SOAT1,18.36,5.5605,30.96
ENSG00000159399.8,HK2,18.291,2.9915,34.391
ENSG00000132170.18,PPARG,18.159000000000002,6.659,29.859
ENSG00000104904.11,OAZ1,18.065,1.0654,34.565
ENSG00000138413.12,IDH1,17.59,2.3901,31.09
ENSG00000167468.15,GPX4,17.433,6.0329,27.733
ENSG00000113648.15,MACROH2A1,17.105999999999998,3.9058,30.805999999999997
ENSG00000122359.16,ANXA11,16.643,1.2432,32.643
ENSG00000167588.11,GPD1,16.572,6.0724,26.872
ENSG00000111679.15,PTPN6,16.526,4.226,28.326
ENSG00000135926.11,TMBIM1,16.142,0.041845,31.842
ENSG00000032444.14,PNPLA6,16.102,0.20176,33.202
ENSG00000099331.12,MYO9B,15.99,2.2901,30.49
ENSG00000115295.18,CLIP4,15.795,5.8952,24.495
ENSG00000183696.12,UPP1,15.752,3.8524,27.451999999999998
ENSG00000119321.7,FKBP15,14.972999999999999,2.0727,27.773000000000003
ENSG00000115762.15,PLEKHB2,14.814,1.9139,27.914
ENSG00000132205.9,EMILIN2,14.789000000000001,3.3888,26.189
ENSG00000177156.9,TALDO1,14.754000000000001,5.6536,23.854
ENSG00000178719.15,GRINA,14.699000000000002,3.5994,26.099
ENSG00000131389.15,SLC6A6,14.370999999999999,2.6706,26.771
ENSG00000136868.10,SLC31A1,14.17,3.8695,24.87
ENSG00000023191.15,RNH1,14.164000000000001,2.7638,25.664
ENSG00000159842.13,ABR,14.149000000000001,3.3494,26.249000000000002
ENSG00000122694.14,GLIPR2,13.888,2.1878,26.788
ENSG00000159720.10,ATP6V0D1,13.761,2.8606,24.660999999999998
ENSG00000197471.10,SPN,13.745999999999999,-0.053741,28.346
ENSG00000177885.12,GRB2,13.582,1.7816,24.781999999999996
ENSG00000160883.9,HK3,13.575999999999999,1.6759,26.776
ENSG00000100300.16,TSPO,13.263,0.063442,27.463
ENSG00000198053.10,SIRPA,13.179,3.8786,22.679000000000002
ENSG00000163694.13,RBM47,13.092,4.5924,21.392
ENSG00000158869.9,FCER1G,13.050999999999998,2.5511,23.051
ENSG00000169403.10,PTAFR,12.999,1.8991,23.899
ENSG00000127948.12,POR,12.982999999999999,4.0827,22.083000000000002
ENSG00000110446.8,SLC15A3,12.895,3.7946,21.395
ENSG00000149418.9,ST14,12.754000000000001,5.4545,19.654
ENSG00000163956.9,LRPAP1,12.527999999999999,2.6276,22.028000000000002
ENSG00000140749.8,IGSF6,11.513,-0.086675,23.313000000000002
ENSG00000187688.13,TRPV2,11.463,3.8634,20.363
ENSG00000083457.10,ITGAE,11.38,4.2795,19.38
ENSG00000172164.12,SNTB1,10.86,3.4601,18.26
ENSG00000008394.11,MGST1,10.792,3.9918,17.792
ENSG00000185825.14,BCAP31,10.75,1.6504,19.85
ENSG00000137824.14,RMDN3,10.328,3.2282,18.227999999999998
ENSG00000135596.16,MICAL1,10.105,2.4047,18.905
ENSG00000118785.12,SPP1,9.9448,2.5448,17.545
ENSG00000095970.15,TREM2,9.8158,0.81581,18.516
ENSG00000025039.13,RRAGD,9.8008,4.3008,15.001
ENSG00000148834.11,GSTO1,9.5636,3.1636,16.064
ENSG00000069424.13,KCNAB2,9.4492,2.2492,17.449
ENSG00000117410.12,ATP6V0B,9.4214,1.8214,16.820999999999998
ENSG00000121769.6,FABP3,9.3656,2.8656,16.366
ENSG00000066336.10,SPI1,9.3367,2.2367,17.137
ENSG00000117676.12,RPS6KA1,9.3339,-2.4661,22.734
ENSG00000149781.11,FERMT3,9.2191,1.4191,17.519000000000002
ENSG00000074964.15,ARHGEF10L,8.9999,2.7999,15.6
ENSG00000100364.17,KIAA0930,8.9952,0.49525,18.495
ENSG00000104687.11,GSR,8.9206,2.8206,15.220999999999998
ENSG00000119408.15,NEK6,8.8013,0.8013,17.000999999999998
ENSG00000172936.11,MYD88,8.3746,1.9746,14.975
ENSG00000106789.11,CORO2A,7.974,2.274,13.374
ENSG00000153292.14,ADGRF1,7.8402,2.4402,13.34
ENSG00000198951.10,NAGA,7.7786,1.9786,13.679
ENSG00000111863.11,ADTRP,7.7142,3.6142,11.714
ENSG00000163814.6,CDCP1,7.6139,1.6139,13.614
ENSG00000023330.13,ALAS1,7.5675,0.067506,14.767999999999999
ENSG00000010671.14,BTK,7.4744,2.0744,12.774000000000001
