,control_indices,treatment_indices
0,0,145
1,361,3
2,4,79
3,368,7
4,9,231
5,10,145
6,271,12
7,15,145
8,17,138
9,271,18
10,23,196
11,25,308
12,324,27
13,29,194
14,123,31
15,105,33
16,34,275
17,40,275
18,42,231
19,44,119
20,154,46
21,49,93
22,51,169
23,53,93
24,305,55
25,109,57
26,58,46
27,60,79
28,63,387
29,386,64
30,67,318
31,186,70
32,72,278
33,74,275
34,77,149
35,60,79
36,81,333
37,83,196
38,67,86
39,90,275
40,17,91
41,49,93
42,96,267
43,99,3
44,67,101
45,254,102
46,105,136
47,107,79
48,109,33
49,271,111
50,113,261
51,118,172
52,60,119
53,376,121
54,123,31
55,126,308
56,128,175
57,60,130
58,131,27
59,134,267
60,105,136
61,17,138
62,141,231
63,142,145
64,15,145
65,146,3
66,77,149
67,152,46
68,154,46
69,158,27
70,161,145
71,163,46
72,167,231
73,51,169
74,118,172
75,390,175
76,368,178
77,291,180
78,182,196
79,184,93
80,186,70
81,190,3
82,29,194
83,246,196
84,381,197
85,200,275
86,377,201
87,203,231
88,205,231
89,207,250
90,67,209
91,211,387
92,213,201
93,215,3
94,217,383
95,256,220
96,221,180
97,226,275
98,17,227
99,326,231
100,233,387
101,235,275
102,237,333
103,238,180
104,347,241
105,242,145
106,305,244
107,246,196
108,249,70
109,207,250
110,252,145
111,254,102
112,256,241
113,259,180
114,113,261
115,263,180
116,265,145
117,96,267
118,269,7
119,271,18
120,273,194
121,200,275
122,186,278
123,113,281
124,17,283
125,285,136
126,287,275
127,335,289
128,291,180
129,295,344
130,298,344
131,271,300
132,302,145
133,303,27
134,305,244
135,335,308
136,309,387
137,271,312
138,207,314
139,316,93
140,67,318
141,320,275
142,337,321
143,324,27
144,326,231
145,327,93
146,337,330
147,186,331
148,203,333
149,335,391
150,337,244
151,340,46
152,351,342
153,295,344
154,381,346
155,347,241
156,349,79
157,351,342
158,354,175
159,17,355
160,358,119
161,360,145
162,361,3
163,109,363
164,366,7
165,368,7
166,369,145
167,271,371
168,374,275
169,376,342
170,377,201
171,271,380
172,381,346
173,298,383
174,386,391
175,309,387
176,390,175
177,335,391
