,control_indices,treatment_indices
0,0,175
1,358,3
2,4,175
3,256,7
4,9,333
5,10,175
6,337,12
7,15,145
8,17,383
9,17,18
10,21,169
11,23,275
12,25,289
13,390,27
14,29,136
15,154,31
16,105,33
17,34,102
18,38,169
19,40,275
20,44,175
21,123,46
22,49,194
23,51,149
24,53,136
25,298,55
26,163,57
27,58,31
28,60,130
29,63,387
30,25,64
31,67,318
32,249,70
33,72,172
34,74,102
35,77,145
36,131,79
37,83,196
38,84,121
39,298,86
40,90,102
41,298,91
42,213,93
43,96,178
44,99,169
45,217,101
46,237,102
47,105,33
48,107,175
49,109,33
50,298,111
51,113,346
52,116,169
53,118,278
54,131,119
55,84,121
56,123,281
57,126,289
58,128,178
59,146,130
60,131,79
61,134,201
62,29,136
63,17,138
64,141,231
65,142,169
66,77,145
67,146,130
68,161,149
69,150,169
70,152,261
71,154,31
72,161,149
73,163,57
74,167,231
75,252,169
76,118,172
77,358,175
78,276,178
79,291,180
80,182,196
81,184,33
82,186,331
83,190,387
84,49,194
85,246,196
86,109,197
87,200,231
88,221,201
89,203,275
90,205,196
91,207,318
92,337,209
93,211,121
94,213,93
95,215,387
96,217,314
97,259,220
98,221,308
99,226,231
100,337,227
101,326,231
102,233,387
103,235,102
104,237,102
105,238,201
106,256,241
107,242,175
108,271,244
109,246,196
110,249,70
111,298,250
112,252,169
113,254,102
114,256,241
115,259,220
116,113,261
117,263,289
118,265,387
119,276,267
120,269,391
121,271,244
122,273,363
123,40,275
124,276,267
125,118,278
126,123,281
127,249,283
128,285,93
129,287,102
130,25,289
131,291,180
132,292,387
133,295,314
134,298,318
135,337,300
136,302,145
137,303,175
138,305,383
139,221,308
140,309,387
141,337,312
142,217,314
143,316,180
144,207,318
145,320,333
146,337,321
147,324,387
148,326,231
149,327,220
150,249,330
151,186,331
152,40,333
153,335,178
154,337,209
155,340,346
156,390,342
157,217,344
158,113,346
159,347,391
160,349,175
161,354,178
162,271,355
163,358,175
164,360,130
165,361,79
166,273,363
167,366,178
168,368,121
169,369,169
170,249,371
171,374,102
172,377,220
173,17,380
174,381,261
175,17,383
176,386,178
177,215,387
178,390,387
179,347,391
