,external_gene_name,ate,lower_bound,upper_bound
ENSG00000087086.12,FTL,386.01,-136.69,902.21
ENSG00000164265.7,SCGB3A2,105.19,43.394,196.39
ENSG00000117984.11,CTSD,86.704,-0.79611,171.9
ENSG00000030582.15,GRN,85.185,-12.715,176.48
ENSG00000165168.7,CYBB,82.10700000000001,-13.993,199.91
ENSG00000038945.13,MSR1,74.454,1.7535,147.55
ENSG00000107798.16,LIPA,71.402,-18.498,160.1
ENSG00000102575.9,ACP5,68.436,13.936,124.44
ENSG00000111144.8,LTA4H,54.13,0.63022,106.33
ENSG00000162511.7,LAPTM5,50.95399999999999,-16.746,118.25
ENSG00000198848.11,CES1,47.603,16.102999999999998,80.803
ENSG00000149925.15,ALDOA,41.207,6.7074,70.707
ENSG00000018280.15,SLC11A1,40.599000000000004,4.7988,84.499
ENSG00000135929.7,CYP27A1,40.452,10.552,69.352
ENSG00000185215.7,TNFAIP2,38.207,10.107000000000001,69.807
ENSG00000140678.15,ITGAX,36.04,5.8402,68.54
ENSG00000131981.14,LGALS3,35.284,13.384,54.983999999999995
ENSG00000173391.7,OLR1,32.779,-4.3213,69.479
ENSG00000042493.14,CAPG,32.321999999999996,-1.778,63.922
ENSG00000165140.8,FBP1,31.373,5.1728,65.973
ENSG00000012779.9,ALOX5,30.099,1.1991,62.498999999999995
ENSG00000196743.7,GM2A,29.403000000000002,-2.7969,62.803000000000004
ENSG00000142657.19,PGD,28.747,7.0466,50.347
ENSG00000163931.14,TKT,28.684,3.7836,50.583999999999996
ENSG00000116701.13,NCF2,28.416999999999998,4.217,52.617
ENSG00000049860.12,HEXB,25.54,5.44,46.04
ENSG00000110880.9,CORO1C,24.01,-0.38976,50.81
ENSG00000160213.5,CSTB,22.755,6.8551,37.955
ENSG00000060982.13,BCAT1,21.055999999999997,-3.0436,43.956
ENSG00000138061.10,CYP1B1,20.909000000000002,5.6086,39.209
ENSG00000198431.14,TXNRD1,20.253,0.95283,45.553000000000004
ENSG00000159399.8,HK2,19.677,3.2774,36.876999999999995
ENSG00000121064.11,SCPEP1,18.871,3.4712,33.571
ENSG00000163191.5,S100A11,18.703,0.8033100000000001,33.303000000000004
ENSG00000122359.16,ANXA11,16.822,-1.1781,34.922
ENSG00000104904.11,OAZ1,16.583,-2.8174,34.783
ENSG00000144959.8,NCEH1,15.620999999999999,-0.67923,30.721
ENSG00000121316.9,PLBD1,15.302999999999999,-0.19714,32.103
ENSG00000161921.13,CXCL16,15.25,0.94986,29.55
ENSG00000000938.11,FGR,15.16,0.75954,30.36
ENSG00000131389.15,SLC6A6,14.91,0.41029,28.01
ENSG00000071553.15,ATP6AP1,14.767000000000001,2.4673,27.967
ENSG00000130309.9,COLGALT1,14.732999999999999,0.23315999999999998,30.933000000000003
ENSG00000132170.18,PPARG,14.440999999999999,2.2414,26.641
ENSG00000032444.14,PNPLA6,14.28,-1.9205,31.38
ENSG00000135926.11,TMBIM1,14.017000000000001,-1.183,28.916999999999998
ENSG00000111679.15,PTPN6,13.88,1.3796,26.28
ENSG00000057252.11,SOAT1,13.695,0.09486900000000001,27.395
ENSG00000136868.10,SLC31A1,13.655,2.0546,23.455
ENSG00000138413.12,IDH1,13.575,-0.72478,28.675
ENSG00000163694.13,RBM47,13.502,1.2025,25.701999999999998
ENSG00000167588.11,GPD1,13.423,2.823,23.523000000000003
ENSG00000167468.15,GPX4,13.333,0.5329999999999999,24.033
ENSG00000177156.9,TALDO1,13.212,3.4116,22.212
ENSG00000197471.10,SPN,13.198,-0.6017100000000001,27.898000000000003
ENSG00000113648.15,MACROH2A1,13.189,-0.9112299999999999,28.689
ENSG00000099331.12,MYO9B,13.085,-4.5151,30.285
ENSG00000115762.15,PLEKHB2,12.787,-0.8128,25.487
ENSG00000159720.10,ATP6V0D1,12.600999999999999,0.10095,23.701
ENSG00000119321.7,FKBP15,12.289000000000001,-2.3111,26.589000000000002
ENSG00000100300.16,TSPO,12.258,-1.6415,25.758000000000003
ENSG00000160883.9,HK3,12.252,0.45201,25.451999999999998
ENSG00000159842.13,ABR,12.222999999999999,0.4227,23.523000000000003
ENSG00000115295.18,CLIP4,11.796,2.2963,20.596
ENSG00000008394.11,MGST1,11.763,3.7627,19.262999999999998
ENSG00000127948.12,POR,11.402000000000001,0.40194,22.302
ENSG00000023191.15,RNH1,11.247,-0.053205999999999996,22.147
ENSG00000163956.9,LRPAP1,11.12,-1.3796,21.52
ENSG00000115355.14,CCDC88A,10.953,-5.0474,30.353
ENSG00000177885.12,GRB2,10.85,-2.0499,24.35
ENSG00000183696.12,UPP1,10.519,-2.1807,22.319000000000003
ENSG00000122694.14,GLIPR2,10.517000000000001,-1.0834,22.017
ENSG00000178719.15,GRINA,10.229,-2.8706,22.329
ENSG00000132205.9,EMILIN2,10.229,-2.8709,22.229
ENSG00000110446.8,SLC15A3,10.08,0.87981,19.78
ENSG00000140749.8,IGSF6,10.035,-1.1655,21.035
ENSG00000172164.12,SNTB1,9.9832,1.9832,17.283
